2020-04-10 04:32:31, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:32:46, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:33:01, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:33:16, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235325, 	0.69248697, 	0.00234, 	61.79661947, 	0.566239%, 	0.340000%, 	0.226239%
2020-04-10 04:33:31, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	61.79661947, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:33:46, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	61.79661947, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:34:01, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:34:16, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:34:31, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:34:46, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:35:01, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:35:16, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:35:31, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:35:46, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:36:01, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:36:16, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:36:31, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:36:46, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:37:01, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:37:16, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:37:31, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:37:46, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:38:01, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:38:16, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:38:31, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:38:46, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:39:01, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:39:16, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:39:31, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:39:46, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:40:01, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	61.79661947, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:40:16, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	52.49021648, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:40:31, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	52.49021648, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:40:46, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	52.49021648, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:41:01, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	52.49021648, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:41:16, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:41:31, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:41:46, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:42:01, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:42:16, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:42:31, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:42:46, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:43:01, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:43:16, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:43:31, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:43:46, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:44:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:44:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:44:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:44:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:45:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:45:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:45:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:45:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:46:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:46:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:46:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:46:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
