2020-04-09 03:31:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1570.95, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:31:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1570.95, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:31:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:31:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:32:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014364, 	0.00593601, 	0.389864%, 	0.190000%, 	0.199864%
2020-04-09 03:32:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:32:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:32:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:33:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:33:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:33:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:33:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:34:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
