2020-04-08 18:25:43, 	Binance     , 	Poloniex    , 	STEEM/BTC, 	2.426e-05, 	6.0, 	2.423e-05, 	747.63257569, 	0.123813%, 	0.190000%, 	-0.066187%
2020-04-09 02:13:33, 	Binance     , 	Poloniex    , 	STEEM/BTC, 	2.4e-05, 	507.0, 	2.394e-05, 	907.72908131, 	0.250627%, 	0.190000%, 	0.060627%
2020-04-09 02:13:48, 	Binance     , 	Poloniex    , 	STEEM/BTC, 	2.389e-05, 	51.0, 	2.393e-05, 	810.81303859, 	-0.167154%, 	0.190000%, 	-0.357154%
