2020-04-09 09:29:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	1450.0, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:29:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	1450.0, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:30:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:30:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:30:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:30:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:31:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:31:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:31:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:31:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:32:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:32:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:32:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	14336.28, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:32:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5882.93, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:33:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5882.93, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:33:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5833.97, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:33:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	4454.81, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:33:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5904.81, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:34:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5904.81, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:34:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5904.81, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:34:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5904.81, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:34:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5904.81, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:35:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5904.81, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:35:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5904.81, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:35:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5904.81, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:35:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5904.81, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:36:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5904.81, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:36:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5215.29, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:36:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5215.29, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:36:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5215.29, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:37:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5215.29, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:37:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5042.34, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:37:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5031.32, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:37:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5031.32, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:38:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5031.32, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:38:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5031.32, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:38:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5031.32, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:38:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5026.5, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:39:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	12913.14, 	0.218321%, 	0.190000%, 	0.028321%
