2020-04-07 21:54:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775365, 	4.645, 	0.0076, 	4.631, 	2.021711%, 	0.400000%, 	1.621711%
2020-04-07 21:55:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775365, 	4.645, 	0.0076, 	67.88046036, 	2.021711%, 	0.400000%, 	1.621711%
2020-04-07 21:55:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775365, 	4.645, 	0.0076, 	4.62, 	2.021711%, 	0.400000%, 	1.621711%
2020-04-07 21:56:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775365, 	4.645, 	0.0076, 	1.43421105, 	2.021711%, 	0.400000%, 	1.621711%
2020-04-07 21:56:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775366, 	4.63, 	0.0076, 	1.43421105, 	2.021842%, 	0.400000%, 	1.621842%
2020-04-07 21:57:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775364, 	4.63, 	0.0076, 	4.43796819, 	2.021579%, 	0.400000%, 	1.621579%
2020-04-07 21:57:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775366, 	4.63, 	0.0076, 	54.76982956, 	2.021842%, 	0.400000%, 	1.621842%
2020-04-07 21:58:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775372, 	4.622, 	0.0076, 	4.622, 	2.022632%, 	0.400000%, 	1.622632%
2020-04-07 21:58:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775363, 	0.32210751, 	0.0076, 	107.30407035, 	2.021447%, 	0.400000%, 	1.621447%
2020-04-07 21:59:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775363, 	0.32210751, 	0.0076, 	4.628, 	2.021447%, 	0.400000%, 	1.621447%
2020-04-07 21:59:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775363, 	0.32210751, 	0.0076, 	4.628, 	2.021447%, 	0.400000%, 	1.621447%
2020-04-07 22:00:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775363, 	0.32210751, 	0.0076, 	97.781768, 	2.021447%, 	0.400000%, 	1.621447%
2020-04-07 22:00:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775362, 	0.00060199, 	0.0076, 	97.88014, 	2.021316%, 	0.400000%, 	1.621316%
2020-04-07 22:01:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775362, 	0.00060199, 	0.0076, 	97.781768, 	2.021316%, 	0.400000%, 	1.621316%
2020-04-07 22:01:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00775362, 	0.00060199, 	0.0076, 	96.994792, 	2.021316%, 	0.400000%, 	1.621316%
2020-04-07 22:02:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774428, 	0.076, 	0.007597, 	96.40456, 	1.938660%, 	0.400000%, 	1.538660%
2020-04-07 22:02:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774428, 	0.076, 	0.007597, 	97.191536, 	1.938660%, 	0.400000%, 	1.538660%
2020-04-07 22:03:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00774428, 	0.076, 	0.007595, 	96.207816, 	1.965504%, 	0.400000%, 	1.565504%
2020-04-07 22:03:49, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773112, 	0.0768, 	0.007595, 	97.191536, 	1.792232%, 	0.400000%, 	1.392232%
2020-04-07 22:04:19, 	Bittrex     , 	OKEX        , 	XMR/BTC, 	0.00773112, 	0.0768, 	0.007596, 	97.38828, 	1.778831%, 	0.400000%, 	1.378831%
