2020-04-10 11:44:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	97714.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:44:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	97714.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:45:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	97714.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:45:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	97714.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:45:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	97714.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:45:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	97788.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:46:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	97788.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:46:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	97788.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:46:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	97862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:46:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	97862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:47:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	97862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:47:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	97862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:47:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	2862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:47:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	2862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:48:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	2862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:48:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	2862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:48:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	2862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:48:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	2862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:49:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	2862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:49:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	2862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:49:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	2862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:49:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	2862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:50:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	2862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:50:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	2862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:50:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	2862.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:50:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:51:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:51:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:51:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
