2020-04-09 18:28:07, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1826, 	5506.0, 	1.128149%, 	0.600000%, 	0.528149%
2020-04-09 18:28:22, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1826, 	9055.0, 	1.128149%, 	0.600000%, 	0.528149%
2020-04-09 18:28:37, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1827, 	52917.0, 	1.072797%, 	0.600000%, 	0.472797%
2020-04-09 18:28:52, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1827, 	32865.0, 	1.072797%, 	0.600000%, 	0.472797%
2020-04-09 18:29:07, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1827, 	32865.0, 	1.072797%, 	0.600000%, 	0.472797%
2020-04-09 18:29:22, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1826, 	7081.0, 	1.128149%, 	0.600000%, 	0.528149%
2020-04-09 18:29:37, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1827, 	51770.0, 	1.072797%, 	0.600000%, 	0.472797%
2020-04-09 18:29:52, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1827, 	1555.0, 	1.072797%, 	0.600000%, 	0.472797%
2020-04-09 18:30:07, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1828, 	91101.0, 	1.017505%, 	0.600000%, 	0.417505%
2020-04-09 18:30:22, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1827, 	6671.0, 	1.072797%, 	0.600000%, 	0.472797%
2020-04-09 18:30:37, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1828, 	134230.0, 	1.017505%, 	0.600000%, 	0.417505%
2020-04-09 18:30:52, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1827, 	3996.0, 	1.072797%, 	0.600000%, 	0.472797%
2020-04-09 18:31:07, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1828, 	117458.0, 	1.017505%, 	0.600000%, 	0.417505%
