2020-04-08 18:54:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.83, 	100.807, 	5.783, 	3.93392676, 	0.812727%, 	0.510000%, 	0.302727%
2020-04-08 18:54:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.83, 	100.807, 	5.78398, 	65.07, 	0.795646%, 	0.510000%, 	0.285646%
2020-04-08 18:55:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.833, 	10.307, 	5.784, 	3.93392676, 	0.847165%, 	0.510000%, 	0.337165%
2020-04-08 18:55:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.833, 	10.307, 	5.78299, 	65.09, 	0.864778%, 	0.510000%, 	0.354778%
2020-04-08 18:55:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.834, 	60.204, 	5.79799, 	18.9837184, 	0.621077%, 	0.510000%, 	0.111077%
2020-04-08 18:55:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	10.307, 	5.79699, 	18.9837184, 	0.655685%, 	0.510000%, 	0.145685%
2020-04-08 18:56:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	10.307, 	5.795, 	3.93392676, 	0.690250%, 	0.510000%, 	0.180250%
2020-04-08 18:56:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	10.307, 	5.79397, 	65.052, 	0.708150%, 	0.510000%, 	0.198150%
2020-04-08 18:56:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	10.307, 	5.788, 	3167.34120702, 	0.812025%, 	0.510000%, 	0.302025%
2020-04-08 18:56:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	10.307, 	5.78699, 	18.9837184, 	0.829620%, 	0.510000%, 	0.319620%
2020-04-08 18:57:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	10.307, 	5.786, 	3.93392676, 	0.846872%, 	0.510000%, 	0.336872%
2020-04-08 18:57:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	10.307, 	5.787, 	3.93392676, 	0.829445%, 	0.510000%, 	0.319445%
2020-04-08 18:57:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	10.307, 	5.784, 	3.93392676, 	0.881743%, 	0.510000%, 	0.371743%
2020-04-08 18:57:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.836, 	60.421, 	5.784, 	3.93392676, 	0.899032%, 	0.510000%, 	0.389032%
2020-04-08 18:58:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.836, 	10.307, 	5.783, 	3.93392676, 	0.916479%, 	0.510000%, 	0.406479%
2020-04-08 18:58:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.836, 	10.307, 	5.78398, 	65.066, 	0.899381%, 	0.510000%, 	0.389381%
2020-04-08 18:58:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.838, 	451.978, 	5.78798, 	64.999, 	0.864205%, 	0.510000%, 	0.354205%
2020-04-08 18:58:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.84, 	451.978, 	5.78797, 	64.989, 	0.898933%, 	0.510000%, 	0.388933%
2020-04-08 18:59:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.84, 	10.307, 	5.78797, 	64.989, 	0.898933%, 	0.510000%, 	0.388933%
2020-04-08 18:59:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.84, 	10.307, 	5.78797, 	64.989, 	0.898933%, 	0.510000%, 	0.388933%
2020-04-08 18:59:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.842, 	26.507, 	5.78797, 	64.989, 	0.933488%, 	0.510000%, 	0.423488%
2020-04-08 18:59:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.844, 	550.0, 	5.787, 	3.93392676, 	0.984966%, 	0.510000%, 	0.474966%
2020-04-08 19:00:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.848, 	451.978, 	5.786, 	3.93392676, 	1.071552%, 	0.510000%, 	0.561552%
2020-04-08 19:00:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.834, 	60.442, 	5.786, 	3.93392676, 	0.829589%, 	0.510000%, 	0.319589%
2020-04-08 19:00:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.83, 	130.018, 	5.786, 	3.93392676, 	0.760456%, 	0.510000%, 	0.250456%
2020-04-08 19:00:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.832, 	30.007, 	5.785, 	3.93392676, 	0.812446%, 	0.510000%, 	0.302446%
2020-04-08 19:01:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.836, 	15.91, 	5.79, 	3.93392676, 	0.794473%, 	0.510000%, 	0.284473%
2020-04-08 19:01:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.836, 	29.987, 	5.789, 	3.93392676, 	0.811885%, 	0.510000%, 	0.301885%
2020-04-08 19:01:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.837, 	29.982, 	5.78999, 	18.9837184, 	0.811919%, 	0.510000%, 	0.301919%
2020-04-08 19:01:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.838, 	60.4, 	5.788, 	3.93392676, 	0.863856%, 	0.510000%, 	0.353856%
2020-04-08 19:02:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.836, 	60.421, 	5.79194, 	18.9837184, 	0.760712%, 	0.510000%, 	0.250712%
2020-04-08 19:02:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.837, 	57.382, 	5.79189, 	83.9467184, 	0.778848%, 	0.510000%, 	0.268848%
2020-04-08 19:02:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	60.431, 	5.79, 	3.93392676, 	0.777202%, 	0.510000%, 	0.267202%
2020-04-08 19:02:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.831, 	60.473, 	5.783, 	3.93392676, 	0.830019%, 	0.510000%, 	0.320019%
