2020-04-07 20:34:55, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	74755.44156482, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:35:25, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	70879.47257257, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:35:55, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	74755.44156482, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:36:25, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	74755.44156482, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:36:55, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	74755.44156482, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:37:25, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2888.57700709, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:37:55, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2888.57700709, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:38:25, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2888.57700709, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:38:55, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2971.17974295, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:39:25, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2971.17974295, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:39:55, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2971.17974295, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:58:39, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	74755.44156482, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:59:09, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	74755.44156482, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 20:59:39, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	74755.44156482, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 21:00:09, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	74755.44156482, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 21:00:39, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	74755.44156482, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 21:01:09, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2885.73914052, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 21:01:39, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	5091.73914052, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 21:02:09, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	5091.73914052, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 21:02:39, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2885.73914052, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 21:03:09, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2969.85996547, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 21:03:39, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2969.85996547, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 21:04:09, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2969.85996547, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 21:04:39, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2969.85996547, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 21:05:09, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2969.85996547, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 21:05:39, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	2969.85996547, 	1.33e-06, 	109343.63110711, 	37.593985%, 	0.400000%, 	37.193985%
2020-04-07 21:07:37, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	13744.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:08:07, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	13744.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:08:37, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	13744.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:09:07, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	13744.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:09:37, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	13744.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
