2020-04-11 11:22:46, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	900.6, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:22:56, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	900.6, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:23:01, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	900.6, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:23:11, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	900.6, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:23:17, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	900.6, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:23:26, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	900.6, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:23:32, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	900.6, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:23:41, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	900.6, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:23:47, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	900.6, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:23:56, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	900.6, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:24:02, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	3186.2, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:24:11, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	3186.2, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:24:17, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	3186.2, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:24:26, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	3186.2, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:24:32, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	3186.2, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:24:41, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	3186.2, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:24:47, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	24448.2, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:24:56, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	24448.2, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:25:02, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	24448.2, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:25:11, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	24448.2, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:25:17, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	24448.2, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:25:26, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	24448.2, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:25:32, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	76448.2, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:25:41, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	67455.9, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:25:47, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	67455.9, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:25:56, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	24455.9, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:26:02, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	24455.9, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:26:11, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	24455.9, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:26:17, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	24455.9, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:26:26, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	24455.9, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:26:32, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	24455.9, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:26:41, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	24464.9, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:26:47, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	24464.7, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:26:56, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	24464.7, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:27:02, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01651, 	24464.4, 	0.847971%, 	0.250000%, 	0.597971%
2020-04-11 11:27:11, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	24464.3, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:27:17, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	24464.3, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:27:26, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	24464.3, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:27:32, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	24464.3, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:27:41, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	24464.3, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:27:47, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	24464.3, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:27:56, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	24464.3, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:28:02, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	24464.3, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:28:11, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	24464.3, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:28:17, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	24464.3, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:28:26, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:28:32, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01653, 	21262.0, 	0.725953%, 	0.250000%, 	0.475953%
2020-04-11 11:28:41, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01653, 	21262.0, 	0.725953%, 	0.250000%, 	0.475953%
2020-04-11 11:28:47, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01653, 	21262.0, 	0.725953%, 	0.250000%, 	0.475953%
2020-04-11 11:28:56, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:29:02, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:29:11, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
2020-04-11 11:29:17, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01652, 	21262.0, 	0.786925%, 	0.250000%, 	0.536925%
