2020-04-10 07:04:38, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	105.95, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 07:04:53, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	99.63, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 07:05:08, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	116.53, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 07:05:23, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	116.53, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 07:05:38, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	81.53, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 07:05:53, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	64.63, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 07:06:08, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	64.63, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 07:06:23, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	64.63, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 07:06:38, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	64.63, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 07:06:53, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	64.63, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 07:07:08, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	64.63, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 07:07:23, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	59.43, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 07:07:38, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.91e-05, 	82.3, 	0.371681%, 	0.360000%, 	0.011681%
2020-04-10 07:07:53, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.92e-05, 	1807.2, 	0.244949%, 	0.360000%, 	-0.115051%
2020-04-10 09:04:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	1381.4, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:04:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	1381.4, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:04:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	42.47, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:04:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	124.61, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:05:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	124.61, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:05:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	126.02, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:05:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	126.02, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:05:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	126.02, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:06:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	26.02, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:06:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	581.72, 	0.626109%, 	0.360000%, 	0.266109%
