2020-04-09 12:57:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	196.44, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:57:19, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	196.44, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:57:34, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	196.44, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:57:49, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	184.4, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:58:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	181.01, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:58:19, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	154.79, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:58:34, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	154.79, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:58:49, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	154.79, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:59:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	154.79, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:59:19, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	154.79, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:59:34, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	143.25, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:59:49, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	143.25, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 13:00:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	143.25, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 13:00:19, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	143.25, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 13:00:34, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	143.25, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 13:00:49, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	143.25, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 13:01:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001727, 	3.98, 	0.341633%, 	0.190000%, 	0.151633%
2020-04-09 13:01:19, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001724, 	8.2, 	0.516241%, 	0.190000%, 	0.326241%
2020-04-09 13:01:34, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001724, 	8.2, 	0.516241%, 	0.190000%, 	0.326241%
2020-04-09 13:01:49, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001724, 	6.88, 	0.516241%, 	0.190000%, 	0.326241%
2020-04-09 13:02:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001724, 	5.54, 	0.516241%, 	0.190000%, 	0.326241%
2020-04-09 13:02:19, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001724, 	5.54, 	0.516241%, 	0.190000%, 	0.326241%
2020-04-09 13:02:34, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001724, 	5.54, 	0.516241%, 	0.190000%, 	0.326241%
2020-04-09 13:02:49, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001724, 	5.54, 	0.516241%, 	0.190000%, 	0.326241%
2020-04-09 13:03:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001724, 	102.94, 	0.516241%, 	0.190000%, 	0.326241%
2020-04-09 13:03:19, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001724, 	102.94, 	0.516241%, 	0.190000%, 	0.326241%
2020-04-09 13:03:34, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001724, 	71.6, 	0.516241%, 	0.190000%, 	0.326241%
2020-04-09 13:03:49, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001724, 	71.6, 	0.516241%, 	0.190000%, 	0.326241%
2020-04-09 13:04:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001724, 	71.6, 	0.516241%, 	0.190000%, 	0.326241%
2020-04-09 13:04:19, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001724, 	71.6, 	0.516241%, 	0.190000%, 	0.326241%
2020-04-09 13:04:34, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001723, 	11.61, 	0.574579%, 	0.190000%, 	0.384579%
2020-04-09 13:04:49, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001723, 	11.61, 	0.574579%, 	0.190000%, 	0.384579%
2020-04-09 13:05:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001723, 	11.61, 	0.574579%, 	0.190000%, 	0.384579%
2020-04-09 13:05:19, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001723, 	11.61, 	0.574579%, 	0.190000%, 	0.384579%
2020-04-09 13:05:34, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.00476256, 	0.0001723, 	11.61, 	0.574579%, 	0.190000%, 	0.384579%
