2020-04-10 14:51:32, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.24e-05, 	645.85100347, 	2.23e-05, 	6897.06352122, 	0.448430%, 	0.340000%, 	0.108430%
2020-04-10 14:51:47, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.24e-05, 	645.85100347, 	2.231e-05, 	0.45794927, 	0.403407%, 	0.340000%, 	0.063407%
2020-04-10 14:52:02, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.24e-05, 	645.85100347, 	2.241e-05, 	1393.0, 	-0.044623%, 	0.340000%, 	-0.384623%
2020-04-10 15:00:06, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.24e-05, 	0.85100347, 	2.229e-05, 	1393.0, 	0.493495%, 	0.340000%, 	0.153495%
2020-04-10 15:00:21, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.24e-05, 	0.85100347, 	2.232e-05, 	357.47147651, 	0.358423%, 	0.340000%, 	0.018423%
2020-04-10 15:00:36, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.24e-05, 	0.85100347, 	2.232e-05, 	357.47147651, 	0.358423%, 	0.340000%, 	0.018423%
2020-04-10 15:00:51, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.231e-05, 	10.987, 	2.232e-05, 	357.47147651, 	-0.044803%, 	0.340000%, 	-0.384803%
2020-04-10 16:37:35, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	3677.11071134, 	2.207e-05, 	250.0, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:37:50, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	3677.11071134, 	2.207e-05, 	250.0, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:38:05, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	3677.11071134, 	2.207e-05, 	250.0, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:38:20, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	3677.11071134, 	2.207e-05, 	250.0, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:38:35, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	3677.11071134, 	2.207e-05, 	250.0, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:38:50, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	3677.11071134, 	2.207e-05, 	250.0, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:39:05, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	3677.11071134, 	2.207e-05, 	250.0, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:39:20, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	3677.11071134, 	2.207e-05, 	250.0, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:39:35, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	3677.11071134, 	2.207e-05, 	250.0, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:39:50, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	3677.11071134, 	2.207e-05, 	112.52, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:40:05, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	2417.11071134, 	2.207e-05, 	112.52, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:40:20, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	712.13909481, 	2.207e-05, 	112.52, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:40:35, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	712.13909481, 	2.207e-05, 	112.52, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:40:50, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	712.13909481, 	2.207e-05, 	112.52, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:41:05, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	712.13909481, 	2.207e-05, 	112.52, 	0.634345%, 	0.340000%, 	0.294345%
2020-04-10 16:41:20, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	712.13909481, 	2.206e-05, 	28.0, 	0.679964%, 	0.340000%, 	0.339964%
2020-04-10 16:41:35, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	712.13909481, 	2.204e-05, 	264.90205011, 	0.771325%, 	0.340000%, 	0.431325%
2020-04-10 16:41:50, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	712.13909481, 	2.194e-05, 	9132.42009132, 	1.230629%, 	0.340000%, 	0.890629%
2020-04-10 16:42:05, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.203e-05, 	4887.69129418, 	0.817068%, 	0.340000%, 	0.477068%
2020-04-10 16:42:20, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.202e-05, 	9956.21602773, 	0.862852%, 	0.340000%, 	0.522852%
2020-04-10 16:42:35, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.198e-05, 	30.0, 	1.046406%, 	0.340000%, 	0.706406%
2020-04-10 16:42:50, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.203e-05, 	13959.44574515, 	0.817068%, 	0.340000%, 	0.477068%
2020-04-10 16:43:05, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.199e-05, 	30.0, 	1.000455%, 	0.340000%, 	0.660455%
2020-04-10 16:43:20, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.199e-05, 	30.0, 	1.000455%, 	0.340000%, 	0.660455%
2020-04-10 16:43:35, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.2e-05, 	30.0, 	0.954545%, 	0.340000%, 	0.614545%
2020-04-10 16:43:50, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.201e-05, 	13119.0, 	0.908678%, 	0.340000%, 	0.568678%
2020-04-10 16:44:05, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.201e-05, 	13119.0, 	0.908678%, 	0.340000%, 	0.568678%
2020-04-10 16:44:20, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.2e-05, 	8707.39115357, 	0.954545%, 	0.340000%, 	0.614545%
2020-04-10 16:44:35, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.198e-05, 	9124.08759124, 	1.046406%, 	0.340000%, 	0.706406%
2020-04-10 16:44:50, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.187e-05, 	250.0, 	1.554641%, 	0.340000%, 	1.214641%
2020-04-10 16:45:05, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.187e-05, 	128.0, 	1.554641%, 	0.340000%, 	1.214641%
2020-04-10 16:45:20, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.202e-05, 	9126.16929044, 	0.862852%, 	0.340000%, 	0.522852%
2020-04-10 16:45:35, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.189e-05, 	250.0, 	1.461855%, 	0.340000%, 	1.121855%
2020-04-10 16:45:50, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.189e-05, 	250.0, 	1.461855%, 	0.340000%, 	1.121855%
2020-04-10 16:46:05, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.189e-05, 	113.08816811, 	1.461855%, 	0.340000%, 	1.121855%
2020-04-10 16:46:20, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.221e-05, 	685.17609481, 	2.191e-05, 	500.0, 	1.369238%, 	0.340000%, 	1.029238%
