2020-04-10 08:08:16, 	Bitfinex    , 	Coinbase Pro, 	ETH/EUR, 	146.94, 	13236.39196559, 	145.73, 	84.3, 	0.830303%, 	0.700000%, 	0.130303%
2020-04-10 08:08:31, 	Bitfinex    , 	Coinbase Pro, 	ETH/EUR, 	146.94, 	13235.52041037, 	145.73, 	84.0, 	0.830303%, 	0.700000%, 	0.130303%
2020-04-10 08:09:49, 	Bitfinex    , 	Coinbase Pro, 	ETH/EUR, 	146.94, 	12432.72198041, 	146.0, 	41.94579272, 	0.643836%, 	0.700000%, 	-0.056164%
