2020-04-09 00:50:59, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.34e-05, 	4898.0, 	2.33e-05, 	51.93045157, 	0.429185%, 	0.300000%, 	0.129185%
2020-04-09 00:51:14, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.34e-05, 	4898.0, 	2.33e-05, 	51.93045157, 	0.429185%, 	0.300000%, 	0.129185%
2020-04-09 00:51:29, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.341e-05, 	7923.0, 	2.338e-05, 	13743.34987238, 	0.128315%, 	0.300000%, 	-0.171685%
2020-04-09 00:55:00, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.344e-05, 	13321.0, 	2.335e-05, 	700.0, 	0.385439%, 	0.300000%, 	0.085439%
2020-04-09 00:55:15, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.344e-05, 	3686.0, 	2.335e-05, 	700.0, 	0.385439%, 	0.300000%, 	0.085439%
2020-04-09 00:55:30, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.339e-05, 	761.0, 	2.335e-05, 	700.0, 	0.171306%, 	0.300000%, 	-0.128694%
2020-04-09 01:22:57, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.343e-05, 	6.0, 	2.334e-05, 	10951.33801405, 	0.385604%, 	0.300000%, 	0.085604%
2020-04-09 01:23:12, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.343e-05, 	6.0, 	2.334e-05, 	3036.20907264, 	0.385604%, 	0.300000%, 	0.085604%
2020-04-09 01:23:27, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.343e-05, 	6.0, 	2.334e-05, 	3036.20907264, 	0.385604%, 	0.300000%, 	0.085604%
2020-04-09 01:23:42, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.343e-05, 	6.0, 	2.335e-05, 	15875.21867656, 	0.342612%, 	0.300000%, 	0.042612%
2020-04-09 01:23:57, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.343e-05, 	6.0, 	2.335e-05, 	15875.21867656, 	0.342612%, 	0.300000%, 	0.042612%
2020-04-09 01:24:12, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.342e-05, 	6.0, 	2.335e-05, 	15875.21867656, 	0.299786%, 	0.300000%, 	-0.000214%
2020-04-10 05:59:58, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.335e-05, 	8.0, 	2.327e-05, 	26684.52702238, 	0.343790%, 	0.300000%, 	0.043790%
2020-04-10 06:00:13, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.334e-05, 	8142.0, 	2.327e-05, 	25318.46053404, 	0.300817%, 	0.300000%, 	0.000817%
2020-04-10 06:00:28, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.335e-05, 	2972.0, 	2.327e-05, 	21684.901191, 	0.343790%, 	0.300000%, 	0.043790%
2020-04-10 06:00:43, 	Binance     , 	Bitfinex    , 	IOTA/BTC, 	2.33e-05, 	13209.0, 	2.327e-05, 	21544.94656627, 	0.128921%, 	0.300000%, 	-0.171079%
