2020-04-09 00:01:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:01:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:02:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:02:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:02:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:02:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:03:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	530467.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:03:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:03:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:03:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:04:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:04:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:04:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:04:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	659424.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:05:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:05:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:05:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:05:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:06:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:06:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	27573.0, 	0.686499%, 	0.190000%, 	0.496499%
