2020-04-07 20:26:36, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.57e-06, 	27486.14063012, 	2.96e-06, 	76100.56454861, 	88.175676%, 	0.400000%, 	87.775676%
2020-04-07 20:27:06, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.57e-06, 	26378.28719324, 	2.96e-06, 	76100.56454861, 	88.175676%, 	0.400000%, 	87.775676%
2020-04-07 20:27:36, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.57e-06, 	26378.28719324, 	2.96e-06, 	76100.56454861, 	88.175676%, 	0.400000%, 	87.775676%
2020-04-07 20:28:06, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	26378.28719324, 	2.96e-06, 	76100.56454861, 	88.344595%, 	0.400000%, 	87.944595%
2020-04-07 20:28:36, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	26378.28719324, 	2.96e-06, 	76100.56454861, 	88.344595%, 	0.400000%, 	87.944595%
2020-04-07 20:29:06, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	26378.28719324, 	2.96e-06, 	76100.56454861, 	88.344595%, 	0.400000%, 	87.944595%
2020-04-07 20:29:36, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	26378.28719324, 	2.96e-06, 	76100.56454861, 	88.344595%, 	0.400000%, 	87.944595%
2020-04-07 20:30:06, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	26378.28719324, 	2.96e-06, 	76100.56454861, 	88.344595%, 	0.400000%, 	87.944595%
2020-04-07 20:30:36, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	26378.28719324, 	2.96e-06, 	76100.56454861, 	88.344595%, 	0.400000%, 	87.944595%
2020-04-07 20:31:06, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	26378.28719324, 	2.96e-06, 	76100.56454861, 	88.344595%, 	0.400000%, 	87.944595%
2020-04-07 20:31:36, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	26378.28719324, 	2.96e-06, 	76100.56454861, 	88.344595%, 	0.400000%, 	87.944595%
2020-04-07 20:32:06, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	26378.28719324, 	2.96e-06, 	76100.56454861, 	88.344595%, 	0.400000%, 	87.944595%
2020-04-07 20:32:36, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.09e-06, 	1580.78556245, 	80.420712%, 	0.400000%, 	80.020712%
2020-04-07 20:33:06, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.09e-06, 	1580.78556245, 	80.420712%, 	0.400000%, 	80.020712%
2020-04-07 20:33:36, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.575e-06, 	24850.5122471, 	3.09e-06, 	1580.78556245, 	80.420712%, 	0.400000%, 	80.020712%
