2020-04-07 21:16:07, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1379719.0, 	6.7e-07, 	112840.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:16:37, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1204700.0, 	6.7e-07, 	112840.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:17:07, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1200956.0, 	6.7e-07, 	112840.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:17:37, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1147475.0, 	6.7e-07, 	44895.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:41:48, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1160508.0, 	6.7e-07, 	129853.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:42:18, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1162175.0, 	6.7e-07, 	129853.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:42:48, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1163975.0, 	6.7e-07, 	129853.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:43:18, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1160508.0, 	6.7e-07, 	129853.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:43:48, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1221222.0, 	6.7e-07, 	129853.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:44:18, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1221222.0, 	6.7e-07, 	100003.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:44:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1219555.0, 	6.7e-07, 	100003.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:45:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1221066.0, 	6.7e-07, 	100003.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:45:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1221066.0, 	6.7e-07, 	112445.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:46:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1219399.0, 	6.7e-07, 	112445.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:46:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1221066.0, 	6.7e-07, 	112445.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:47:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1221066.0, 	6.7e-07, 	112445.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:47:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1219399.0, 	6.7e-07, 	112445.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:48:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1221066.0, 	6.7e-07, 	112445.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:48:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1221076.0, 	6.7e-07, 	112595.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:49:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1219409.0, 	6.7e-07, 	112595.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:49:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1023506.0, 	6.7e-07, 	114057.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:50:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1025173.0, 	6.7e-07, 	114057.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:50:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1023506.0, 	6.7e-07, 	103905.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:51:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1025173.0, 	6.7e-07, 	99905.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:51:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1025173.0, 	6.7e-07, 	99905.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:52:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1023506.0, 	6.7e-07, 	89573.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:52:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1025173.0, 	6.7e-07, 	89573.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:53:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1025173.0, 	6.7e-07, 	89573.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:53:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1023506.0, 	6.7e-07, 	89573.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:54:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1023506.0, 	6.7e-07, 	89573.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:54:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1025173.0, 	6.7e-07, 	136509.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:55:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1025173.0, 	6.7e-07, 	136509.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:55:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1023506.0, 	6.7e-07, 	100233.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:56:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1025173.0, 	6.7e-07, 	100233.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:56:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1025173.0, 	6.7e-07, 	100233.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:57:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1023506.0, 	6.7e-07, 	100233.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:57:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1025173.0, 	6.7e-07, 	100120.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:58:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1025173.0, 	6.7e-07, 	100120.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:58:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1023506.0, 	6.7e-07, 	100120.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:59:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	966116.0, 	6.7e-07, 	100120.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 21:59:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	966116.0, 	6.7e-07, 	100120.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:00:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	960449.0, 	6.7e-07, 	100120.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:00:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	960449.0, 	6.7e-07, 	100120.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:01:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962116.0, 	6.7e-07, 	100120.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:01:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	960449.0, 	6.7e-07, 	100120.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:02:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	960449.0, 	6.7e-07, 	100120.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:02:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	960449.0, 	6.7e-07, 	136626.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:03:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	960449.0, 	6.7e-07, 	136626.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:03:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	960449.0, 	6.7e-07, 	136626.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:04:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	960449.0, 	6.7e-07, 	136626.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:04:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	960449.0, 	6.7e-07, 	238484.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:05:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	960449.0, 	6.7e-07, 	228236.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:05:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	960449.0, 	6.7e-07, 	238524.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:06:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	960449.0, 	6.7e-07, 	238484.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:06:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	955337.0, 	6.8e-07, 	1483832.0, 	95.588235%, 	0.250000%, 	95.338235%
2020-04-07 22:07:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962140.0, 	6.7e-07, 	35765.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:07:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962140.0, 	6.7e-07, 	72281.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:08:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962140.0, 	6.7e-07, 	72281.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:08:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962140.0, 	6.7e-07, 	72281.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:09:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962140.0, 	6.7e-07, 	72281.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:09:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962140.0, 	6.7e-07, 	72281.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:10:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962140.0, 	6.7e-07, 	72281.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:10:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962140.0, 	6.7e-07, 	72281.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:11:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962140.0, 	6.7e-07, 	82404.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:11:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962140.0, 	6.7e-07, 	82404.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:12:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962140.0, 	6.7e-07, 	82404.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:12:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962140.0, 	6.7e-07, 	72281.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:13:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962140.0, 	6.7e-07, 	46674.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:13:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962140.0, 	6.7e-07, 	41469.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:14:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962675.0, 	6.7e-07, 	41469.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:14:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	962675.0, 	6.7e-07, 	41469.0, 	98.507463%, 	0.250000%, 	98.257463%
