2020-04-07 20:36:12, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	17731.63648458, 	1.31e-06, 	29914.83959573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:36:42, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	17731.63648458, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:37:12, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	17731.63648458, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:37:42, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	17731.63648458, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:38:12, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	17731.63648458, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:38:42, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	17731.63648458, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:39:12, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	57517.98742721, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:39:42, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	57517.98742721, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:58:39, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	53170.65141933, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:59:09, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	54170.65141933, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 20:59:39, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	53170.65141933, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:00:09, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	54170.65141933, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:00:39, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	54170.65141933, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:01:09, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	54543.65141933, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:01:39, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	54543.65141933, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:02:09, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	54543.65141933, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:02:39, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	57583.65141933, 	1.31e-06, 	887.95589573, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:03:09, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	68305.44936893, 	1.31e-06, 	777.26148635, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:03:39, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	68305.44936893, 	1.31e-06, 	777.26148635, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:04:09, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	111.4622454, 	1.31e-06, 	777.26148635, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:04:39, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	111.4622454, 	1.31e-06, 	777.26148635, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:05:09, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	1324.2475558, 	1.31e-06, 	777.26148635, 	39.694656%, 	0.240000%, 	39.454656%
2020-04-07 21:05:39, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	49454.99843442, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:07:37, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	563.89312978, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:08:07, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	563.89312978, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:08:37, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	563.89312978, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:09:07, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	563.89312978, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:09:37, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	563.89312978, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:10:07, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	563.89312978, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:10:37, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	563.89312978, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:11:07, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	563.89312978, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:11:37, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	563.89312978, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:12:07, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	563.89312978, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:12:37, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	563.89312978, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:13:07, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	8197.48091603, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:13:37, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	1776.86813184, 	1.32e-06, 	33020.6413188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:14:07, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	9410.45591809, 	1.32e-06, 	33020.6413188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:14:37, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	8197.48091603, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:15:07, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	9410.76962019, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:15:37, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	9410.76962019, 	1.32e-06, 	62047.5250188, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:16:07, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	9410.76962019, 	1.32e-06, 	17770.00720857, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:16:37, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	9607.80015454, 	1.32e-06, 	17770.00720857, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:17:07, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	760.92366413, 	1.32e-06, 	6312.97925101, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:17:37, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	72.1213212, 	1.32e-06, 	6845.83461156, 	38.636364%, 	0.240000%, 	38.396364%
