2020-04-09 23:09:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	562.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 23:09:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	562.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 23:09:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.902e-05, 	10.0, 	0.591595%, 	0.300000%, 	0.291595%
2020-04-09 23:10:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.902e-05, 	10.0, 	0.591595%, 	0.300000%, 	0.291595%
2020-04-09 23:10:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.911e-05, 	333.0, 	0.407249%, 	0.300000%, 	0.107249%
2020-04-09 23:10:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	26.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:10:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	26.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:11:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	26.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:11:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	26.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:11:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	26.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:11:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.909e-05, 	10.0, 	0.448156%, 	0.300000%, 	0.148156%
2020-04-09 23:12:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.9e-05, 	6.0, 	0.632653%, 	0.300000%, 	0.332653%
2020-04-09 23:12:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.911e-05, 	10.0, 	0.407249%, 	0.300000%, 	0.107249%
2020-04-09 23:12:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.911e-05, 	10.0, 	0.407249%, 	0.300000%, 	0.107249%
2020-04-09 23:12:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.91e-05, 	569.0, 	0.427699%, 	0.300000%, 	0.127699%
2020-04-09 23:13:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.91e-05, 	569.0, 	0.427699%, 	0.300000%, 	0.127699%
2020-04-09 23:13:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.911e-05, 	589.0, 	0.407249%, 	0.300000%, 	0.107249%
2020-04-09 23:13:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.911e-05, 	589.0, 	0.407249%, 	0.300000%, 	0.107249%
2020-04-09 23:13:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.914e-05, 	342.0, 	0.345950%, 	0.300000%, 	0.045950%
2020-04-09 23:14:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	26.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:14:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.915e-05, 	9.0, 	0.325534%, 	0.300000%, 	0.025534%
2020-04-09 23:14:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.916e-05, 	26.0, 	0.305126%, 	0.300000%, 	0.005126%
2020-04-09 23:14:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.915e-05, 	696.0, 	0.325534%, 	0.300000%, 	0.025534%
2020-04-09 23:15:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.912e-05, 	11.0, 	0.386808%, 	0.300000%, 	0.086808%
2020-04-09 23:15:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.912e-05, 	11.0, 	0.386808%, 	0.300000%, 	0.086808%
2020-04-09 23:15:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.912e-05, 	344.0, 	0.386808%, 	0.300000%, 	0.086808%
2020-04-09 23:15:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.912e-05, 	481.0, 	0.386808%, 	0.300000%, 	0.086808%
2020-04-09 23:16:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.912e-05, 	481.0, 	0.386808%, 	0.300000%, 	0.086808%
2020-04-09 23:16:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.912e-05, 	481.0, 	0.386808%, 	0.300000%, 	0.086808%
2020-04-09 23:16:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.91e-05, 	579.0, 	0.427699%, 	0.300000%, 	0.127699%
2020-04-09 23:16:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	12.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:17:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.905e-05, 	20.0, 	0.530071%, 	0.300000%, 	0.230071%
2020-04-09 23:17:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.903e-05, 	587.0, 	0.571079%, 	0.300000%, 	0.271079%
2020-04-09 23:17:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.903e-05, 	587.0, 	0.571079%, 	0.300000%, 	0.271079%
2020-04-09 23:17:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.903e-05, 	646.0, 	0.571079%, 	0.300000%, 	0.271079%
2020-04-09 23:18:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.901e-05, 	20.0, 	0.612120%, 	0.300000%, 	0.312120%
2020-04-09 23:18:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.901e-05, 	20.0, 	0.612120%, 	0.300000%, 	0.312120%
2020-04-09 23:18:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.901e-05, 	20.0, 	0.612120%, 	0.300000%, 	0.312120%
2020-04-09 23:18:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.895e-05, 	20.0, 	0.735444%, 	0.300000%, 	0.435444%
2020-04-09 23:19:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.901e-05, 	625.0, 	0.612120%, 	0.300000%, 	0.312120%
2020-04-09 23:19:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.905e-05, 	1102.0, 	0.530071%, 	0.300000%, 	0.230071%
2020-04-09 23:19:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.905e-05, 	626.0, 	0.530071%, 	0.300000%, 	0.230071%
2020-04-09 23:19:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	626.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:20:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	626.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:20:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	627.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:20:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.907e-05, 	9.0, 	0.489097%, 	0.300000%, 	0.189097%
2020-04-09 23:20:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.905e-05, 	9.0, 	0.530071%, 	0.300000%, 	0.230071%
2020-04-09 23:21:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	598.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:21:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	612.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:21:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.906e-05, 	612.0, 	0.509580%, 	0.300000%, 	0.209580%
2020-04-09 23:21:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.91e-05, 	333.0, 	0.427699%, 	0.300000%, 	0.127699%
2020-04-09 23:22:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.907e-05, 	613.0, 	0.489097%, 	0.300000%, 	0.189097%
2020-04-09 23:22:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.907e-05, 	613.0, 	0.489097%, 	0.300000%, 	0.189097%
2020-04-09 23:22:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	613.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:22:47, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	613.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:23:02, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	613.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:23:17, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.908e-05, 	613.0, 	0.468623%, 	0.300000%, 	0.168623%
2020-04-09 23:23:32, 	Bitfinex    , 	Binance     , 	RLC/BTC, 	4.931e-05, 	0.6084, 	4.909e-05, 	613.0, 	0.448156%, 	0.300000%, 	0.148156%
