2020-04-09 14:33:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	18259.537, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:33:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	793.0, 	1.111222%, 	0.460000%, 	0.651222%
2020-04-09 14:33:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	18259.537, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:33:47, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	18259.537, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:34:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	793.0, 	1.111222%, 	0.460000%, 	0.651222%
2020-04-09 14:34:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	18259.537, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:34:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	793.0, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:34:47, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	793.0, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:35:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9992, 	1179.436, 	1.080865%, 	0.460000%, 	0.620865%
2020-04-09 14:35:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9992, 	793.0, 	1.080865%, 	0.460000%, 	0.620865%
2020-04-09 14:35:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9993, 	959.14, 	1.070750%, 	0.460000%, 	0.610750%
2020-04-09 14:35:47, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9993, 	959.14, 	1.070750%, 	0.460000%, 	0.610750%
2020-04-09 14:36:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9994, 	1179.436, 	1.060636%, 	0.460000%, 	0.600636%
2020-04-09 14:36:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9994, 	1179.436, 	1.060636%, 	0.460000%, 	0.600636%
2020-04-09 14:36:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9994, 	1179.436, 	1.060636%, 	0.460000%, 	0.600636%
2020-04-09 14:36:47, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9994, 	1179.436, 	1.060636%, 	0.460000%, 	0.600636%
2020-04-09 14:37:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9994, 	793.0, 	1.060636%, 	0.460000%, 	0.600636%
2020-04-09 14:37:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9992, 	1179.436, 	1.080865%, 	0.460000%, 	0.620865%
2020-04-09 14:37:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9992, 	793.0, 	1.080865%, 	0.460000%, 	0.620865%
2020-04-09 14:37:47, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9992, 	793.0, 	1.080865%, 	0.460000%, 	0.620865%
2020-04-09 14:38:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	963.506, 	1.101101%, 	0.460000%, 	0.641101%
