2020-04-10 08:19:49, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.62, 	23991.53441493, 	145.38, 	36.46, 	0.852937%, 	0.460000%, 	0.392937%
2020-04-10 08:20:04, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.62, 	22107.42249332, 	145.29, 	96.46, 	0.915411%, 	0.460000%, 	0.455411%
2020-04-10 08:20:19, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.62, 	19939.76384464, 	145.23, 	72.0, 	0.957103%, 	0.460000%, 	0.497103%
2020-04-10 08:20:34, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.62, 	17528.48246604, 	144.99, 	49.913, 	1.124215%, 	0.460000%, 	0.664215%
2020-04-10 08:20:49, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.62, 	15037.22293235, 	144.91, 	92.15, 	1.180043%, 	0.460000%, 	0.720043%
2020-04-10 08:21:04, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.62, 	12564.70613139, 	144.71, 	107.79, 	1.319881%, 	0.460000%, 	0.859881%
2020-04-10 08:21:19, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.62, 	9994.85211803, 	144.71, 	41.79, 	1.319881%, 	0.460000%, 	0.859881%
2020-04-10 08:21:34, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.61, 	6803.30061929, 	144.99, 	451.393, 	1.117318%, 	0.460000%, 	0.657318%
2020-04-10 08:21:49, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.61, 	6419.72456759, 	145.16, 	60.0, 	0.998898%, 	0.460000%, 	0.538898%
2020-04-10 08:22:04, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.61, 	6025.2742722, 	145.2, 	0.303, 	0.971074%, 	0.460000%, 	0.511074%
2020-04-10 08:22:19, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.61, 	5758.10424886, 	145.24, 	100.74, 	0.943266%, 	0.460000%, 	0.483266%
2020-04-10 08:22:34, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.61, 	5287.41513351, 	145.24, 	15.75, 	0.943266%, 	0.460000%, 	0.483266%
2020-04-10 08:22:49, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.61, 	4714.45593663, 	145.36, 	37.61, 	0.859934%, 	0.460000%, 	0.399934%
2020-04-10 08:23:04, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.61, 	4529.97370478, 	145.38, 	30.87, 	0.846059%, 	0.460000%, 	0.386059%
2020-04-10 08:23:19, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.61, 	4251.40162181, 	145.4, 	44.87, 	0.832187%, 	0.460000%, 	0.372187%
2020-04-10 08:23:34, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.61, 	4081.60961811, 	145.31, 	2.53, 	0.894639%, 	0.460000%, 	0.434639%
2020-04-10 08:23:49, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.61, 	3595.53454304, 	145.14, 	6.0, 	1.012815%, 	0.460000%, 	0.552815%
2020-04-10 08:24:04, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.61, 	2989.10566181, 	145.13, 	1.737, 	1.019775%, 	0.460000%, 	0.559775%
2020-04-10 08:24:19, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.61, 	2980.11369283, 	145.29, 	0.316, 	0.908528%, 	0.460000%, 	0.448528%
2020-04-10 08:24:34, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	145.76, 	75.0, 	145.29, 	88.08, 	0.323491%, 	0.460000%, 	-0.136509%
