2020-04-07 23:31:46, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.317e-05, 	2089.67214922, 	1.979e-05, 	26.227919, 	17.079333%, 	0.350000%, 	16.729333%
2020-04-07 23:32:16, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.351e-05, 	1982.13295884, 	1.99e-05, 	105.0, 	18.140704%, 	0.350000%, 	17.790704%
2020-04-07 23:32:46, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.351e-05, 	1144.13735003, 	1.997e-05, 	2322.82063548, 	17.726590%, 	0.350000%, 	17.376590%
2020-04-07 23:33:16, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.3e-05, 	19564.94690186, 	2e-05, 	105.0, 	15.000000%, 	0.350000%, 	14.650000%
2020-04-07 23:33:46, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.1e-05, 	29436.15189515, 	2e-05, 	318.03725579, 	5.000000%, 	0.350000%, 	4.650000%
2020-04-07 23:34:16, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.1e-05, 	18108.93733785, 	1.992e-05, 	475.51128203, 	5.421687%, 	0.350000%, 	5.071687%
2020-04-07 23:34:46, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.101e-05, 	1997.1138, 	1.991e-05, 	4270.39471938, 	5.524862%, 	0.350000%, 	5.174862%
2020-04-07 23:35:16, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.102e-05, 	51.9649946, 	1.992e-05, 	25.68560956, 	5.522088%, 	0.350000%, 	5.172088%
2020-04-07 23:35:46, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.102e-05, 	65.19564005, 	1.984e-05, 	3821.8845823, 	5.947581%, 	0.350000%, 	5.597581%
2020-04-07 23:36:16, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.1e-05, 	535.56853821, 	1.989e-05, 	3826.91637914, 	5.580694%, 	0.350000%, 	5.230694%
2020-04-07 23:36:46, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.1e-05, 	535.56853821, 	1.971e-05, 	25.68560956, 	6.544901%, 	0.350000%, 	6.194901%
2020-04-07 23:37:16, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.101e-05, 	177.32821682, 	1.969e-05, 	25.68560956, 	6.703911%, 	0.350000%, 	6.353911%
2020-04-07 23:37:46, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.002e-05, 	145.48361436, 	1.97e-05, 	25.68560956, 	1.624365%, 	0.350000%, 	1.274365%
2020-04-07 23:38:16, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.001e-05, 	166.46882856, 	1.98e-05, 	3934.41133076, 	1.060606%, 	0.350000%, 	0.710606%
2020-04-07 23:38:46, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2e-05, 	32290.89339891, 	1.988e-05, 	3960.74637621, 	0.603622%, 	0.350000%, 	0.253622%
2020-04-07 23:39:16, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.004e-05, 	56.86031539, 	1.98e-05, 	475.51128203, 	1.212121%, 	0.350000%, 	0.862121%
2020-04-07 23:39:46, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.001e-05, 	241.79870212, 	1.982e-05, 	475.51128203, 	0.958628%, 	0.350000%, 	0.608628%
2020-04-07 23:40:16, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2e-05, 	24424.38939891, 	1.994e-05, 	245.57343447, 	0.300903%, 	0.350000%, 	-0.049097%
