2020-04-10 12:27:32, 	OKEX        , 	Kraken      , 	ALGO/ETH, 	0.001134, 	1.2342, 	0.0011277, 	5601.07, 	0.558659%, 	0.410000%, 	0.148659%
2020-04-10 12:27:47, 	OKEX        , 	Kraken      , 	ALGO/ETH, 	0.001134, 	1.2342, 	0.0011272, 	5603.552, 	0.603265%, 	0.410000%, 	0.193265%
2020-04-10 12:28:02, 	OKEX        , 	Kraken      , 	ALGO/ETH, 	0.001128, 	1.2342, 	0.0011271, 	5602.276, 	0.079851%, 	0.410000%, 	-0.330149%
