2020-04-11 18:00:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	816.0, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 18:00:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	2615.721, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:00:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1089.6166, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:00:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	2462.1044, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:01:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	2169.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:01:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	2169.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:01:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1836.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:01:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	4.8583, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:02:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.33e-05, 	2430.6873, 	3.303e-05, 	15.48838758, 	0.817439%, 	0.400000%, 	0.417439%
2020-04-11 18:02:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	779.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:02:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	779.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:02:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	779.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:03:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.33e-05, 	2431.0835, 	3.303e-05, 	15.48838758, 	0.817439%, 	0.400000%, 	0.417439%
2020-04-11 18:03:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	900.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:03:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.33e-05, 	900.0, 	3.303e-05, 	15.48838758, 	0.817439%, 	0.400000%, 	0.417439%
2020-04-11 18:03:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1526.1044, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:04:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1526.1044, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:04:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.33e-05, 	2430.6873, 	3.303e-05, 	15.48838758, 	0.817439%, 	0.400000%, 	0.417439%
2020-04-11 18:04:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1526.1044, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:04:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1526.1044, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:05:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1526.1044, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:05:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1526.1044, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:05:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1526.1044, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:05:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1526.1044, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:06:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1530.9627, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:06:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1526.1044, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:06:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.33e-05, 	1605.0, 	3.303e-05, 	15.48838758, 	0.817439%, 	0.400000%, 	0.417439%
2020-04-11 18:06:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1526.1044, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:07:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 18:07:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	2936.1044, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:07:35, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.33e-05, 	3470.6873, 	3.303e-05, 	15.48838758, 	0.817439%, 	0.400000%, 	0.417439%
2020-04-11 18:07:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	370.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:07:50, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.33e-05, 	2310.0, 	3.303e-05, 	15.48838758, 	0.817439%, 	0.400000%, 	0.417439%
2020-04-11 18:07:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.33e-05, 	2430.6873, 	3.303e-05, 	15.48838758, 	0.817439%, 	0.400000%, 	0.417439%
2020-04-11 18:08:05, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1040.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:08:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	4.8583, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:08:20, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1040.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:08:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:08:35, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1410.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 18:08:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1040.0, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
