2020-04-08 10:03:19, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:03:34, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:03:49, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:04:04, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:04:19, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:04:34, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:04:49, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:05:04, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:05:19, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:05:34, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:05:49, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:06:04, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:06:19, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:06:34, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:06:49, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:07:04, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:07:19, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:07:34, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:07:49, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:08:04, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:08:19, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:08:34, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:08:49, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:09:04, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.545e-05, 	58.93909626, 	2.525e-05, 	97.73104, 	0.792079%, 	0.400000%, 	0.392079%
2020-04-08 10:09:19, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.544e-05, 	83.56424902, 	2.525e-05, 	97.73104, 	0.752475%, 	0.400000%, 	0.352475%
2020-04-08 10:09:34, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.544e-05, 	83.56424902, 	2.525e-05, 	58.93909626, 	0.752475%, 	0.400000%, 	0.352475%
2020-04-08 10:09:49, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.544e-05, 	83.56424902, 	2.525e-05, 	64.91857499, 	0.752475%, 	0.400000%, 	0.352475%
2020-04-08 10:10:04, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.534e-05, 	775.6996, 	2.525e-05, 	97.73104, 	0.356436%, 	0.400000%, 	-0.043564%
2020-04-08 17:37:45, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.562e-05, 	17675.73504069, 	2.534e-05, 	1110.4314, 	1.104972%, 	0.400000%, 	0.704972%
2020-04-08 17:38:00, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.562e-05, 	17675.73504069, 	2.534e-05, 	1110.4314, 	1.104972%, 	0.400000%, 	0.704972%
2020-04-08 17:38:15, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.562e-05, 	17675.73504069, 	2.534e-05, 	1110.4314, 	1.104972%, 	0.400000%, 	0.704972%
2020-04-08 17:38:30, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.536e-05, 	152.16668407, 	2.534e-05, 	1110.4314, 	0.078927%, 	0.400000%, 	-0.321073%
