2020-04-10 17:05:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:05:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:05:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:05:53, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:06:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:06:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:06:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.15093771, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:06:53, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.15093771, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:07:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.15093771, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:07:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:07:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:07:53, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:08:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:08:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:08:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:08:53, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:09:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:09:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:09:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:09:53, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:10:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:10:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:10:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:10:53, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:11:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:11:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:11:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:11:53, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:12:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:12:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:12:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:12:53, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:13:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:13:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:13:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:13:53, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:14:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:14:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:14:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:14:53, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:15:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:15:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:15:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:15:53, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:16:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:16:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.000139947, 	522.042, 	0.752428%, 	0.410000%, 	0.342428%
2020-04-10 17:16:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00014045, 	1174.719, 	0.391598%, 	0.410000%, 	-0.018402%
