2020-04-11 15:37:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	199.5918, 	1.747e-05, 	8.0, 	4.178592%, 	0.250000%, 	3.928592%
2020-04-11 15:37:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	199.5918, 	1.745e-05, 	4.0, 	4.297994%, 	0.250000%, 	4.047994%
2020-04-11 15:37:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	199.5918, 	1.747e-05, 	8.0, 	4.178592%, 	0.250000%, 	3.928592%
2020-04-11 15:38:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	199.5918, 	1.754e-05, 	1070.0, 	3.762828%, 	0.250000%, 	3.512828%
2020-04-11 15:38:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	199.5918, 	1.747e-05, 	1282.0, 	4.178592%, 	0.250000%, 	3.928592%
2020-04-11 15:38:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	199.5918, 	1.739e-05, 	27.0, 	4.657849%, 	0.250000%, 	4.407849%
2020-04-11 15:38:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	199.5918, 	1.744e-05, 	37.0, 	4.357798%, 	0.250000%, 	4.107798%
2020-04-11 15:39:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	199.5918, 	1.741e-05, 	37.0, 	4.537622%, 	0.250000%, 	4.287622%
2020-04-11 15:39:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	199.5918, 	1.738e-05, 	182.0, 	4.718067%, 	0.250000%, 	4.468067%
2020-04-11 15:39:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	199.5918, 	1.74e-05, 	71.0, 	4.597701%, 	0.250000%, 	4.347701%
2020-04-11 15:39:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	195.5936, 	1.746e-05, 	311.0, 	4.238259%, 	0.250000%, 	3.988259%
2020-04-11 15:40:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	142.8876, 	1.746e-05, 	311.0, 	4.238259%, 	0.250000%, 	3.988259%
2020-04-11 15:40:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	142.8876, 	1.746e-05, 	3893.0, 	4.238259%, 	0.250000%, 	3.988259%
2020-04-11 15:40:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	199.5918, 	1.746e-05, 	222.0, 	4.238259%, 	0.250000%, 	3.988259%
2020-04-11 15:40:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.79e-05, 	396.9318, 	1.746e-05, 	387.0, 	2.520046%, 	0.250000%, 	2.270046%
2020-04-11 15:41:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.79e-05, 	396.9318, 	1.733e-05, 	91.0, 	3.289094%, 	0.250000%, 	3.039094%
2020-04-11 15:41:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.79e-05, 	396.9318, 	1.741e-05, 	423.0, 	2.814474%, 	0.250000%, 	2.564474%
2020-04-11 15:41:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.8e-05, 	335.1187, 	1.739e-05, 	5459.0, 	3.507763%, 	0.250000%, 	3.257763%
2020-04-11 15:41:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.8e-05, 	335.1187, 	1.735e-05, 	946.0, 	3.746398%, 	0.250000%, 	3.496398%
2020-04-11 15:42:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.8e-05, 	335.1187, 	1.735e-05, 	433.0, 	3.746398%, 	0.250000%, 	3.496398%
2020-04-11 15:42:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.8e-05, 	335.1187, 	1.733e-05, 	433.0, 	3.866128%, 	0.250000%, 	3.616128%
2020-04-11 15:42:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.8e-05, 	335.1187, 	1.73e-05, 	10683.0, 	4.046243%, 	0.250000%, 	3.796243%
2020-04-11 15:42:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.8e-05, 	335.1187, 	1.734e-05, 	7.0, 	3.806228%, 	0.250000%, 	3.556228%
2020-04-11 15:43:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.8e-05, 	335.1187, 	1.734e-05, 	5122.0, 	3.806228%, 	0.250000%, 	3.556228%
2020-04-11 15:43:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.8e-05, 	335.1187, 	1.736e-05, 	963.0, 	3.686636%, 	0.250000%, 	3.436636%
2020-04-11 15:43:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.8e-05, 	335.1187, 	1.74e-05, 	5122.0, 	3.448276%, 	0.250000%, 	3.198276%
2020-04-11 15:43:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.8e-05, 	335.1187, 	1.736e-05, 	91.0, 	3.686636%, 	0.250000%, 	3.436636%
2020-04-11 15:44:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.8e-05, 	433.7551, 	1.733e-05, 	856.0, 	3.866128%, 	0.250000%, 	3.616128%
2020-04-11 15:44:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.8e-05, 	335.1187, 	1.735e-05, 	856.0, 	3.746398%, 	0.250000%, 	3.496398%
2020-04-11 15:44:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.733e-05, 	856.0, 	2.712060%, 	0.250000%, 	2.462060%
2020-04-11 15:44:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.736e-05, 	91.0, 	2.534562%, 	0.250000%, 	2.284562%
2020-04-11 15:45:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.733e-05, 	856.0, 	2.712060%, 	0.250000%, 	2.462060%
2020-04-11 15:45:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.736e-05, 	91.0, 	2.534562%, 	0.250000%, 	2.284562%
2020-04-11 15:45:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.736e-05, 	91.0, 	2.534562%, 	0.250000%, 	2.284562%
2020-04-11 15:45:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.736e-05, 	66.0, 	2.534562%, 	0.250000%, 	2.284562%
2020-04-11 15:46:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.742e-05, 	9759.0, 	2.181401%, 	0.250000%, 	1.931401%
2020-04-11 15:46:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.734e-05, 	7.0, 	2.652826%, 	0.250000%, 	2.402826%
2020-04-11 15:46:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.734e-05, 	79.0, 	2.652826%, 	0.250000%, 	2.402826%
2020-04-11 15:46:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.738e-05, 	9576.0, 	2.416571%, 	0.250000%, 	2.166571%
2020-04-11 15:47:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.735e-05, 	626.0, 	2.593660%, 	0.250000%, 	2.343660%
2020-04-11 15:47:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.735e-05, 	2370.0, 	2.593660%, 	0.250000%, 	2.343660%
2020-04-11 15:47:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.735e-05, 	2364.0, 	2.593660%, 	0.250000%, 	2.343660%
2020-04-11 15:47:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.735e-05, 	2340.0, 	2.593660%, 	0.250000%, 	2.343660%
2020-04-11 15:48:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.78e-05, 	1396.3791, 	1.735e-05, 	2340.0, 	2.593660%, 	0.250000%, 	2.343660%
