2020-04-10 15:56:57, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17737, 	3999.92, 	0.1762, 	4000.0, 	0.664018%, 	0.400000%, 	0.264018%
2020-04-10 15:57:12, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17737, 	3999.92, 	0.1762, 	4000.0, 	0.664018%, 	0.400000%, 	0.264018%
2020-04-10 15:57:27, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.1773, 	1410.54247469, 	0.1761, 	4000.0, 	0.681431%, 	0.400000%, 	0.281431%
2020-04-10 15:57:42, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17679, 	3999.92, 	0.1758, 	4000.0, 	0.563140%, 	0.400000%, 	0.163140%
2020-04-10 15:57:57, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.176, 	3999.92, 	0.1752, 	4000.0, 	0.456621%, 	0.400000%, 	0.056621%
2020-04-10 15:58:12, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.176, 	3999.92, 	0.1752, 	4000.0, 	0.456621%, 	0.400000%, 	0.056621%
2020-04-10 15:58:27, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.176, 	3999.92, 	0.1752, 	4000.0, 	0.456621%, 	0.400000%, 	0.056621%
2020-04-10 15:58:42, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17439, 	3999.92, 	0.1741, 	4000.0, 	0.166571%, 	0.400000%, 	-0.233429%
2020-04-10 16:04:22, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17523, 	3999.92, 	0.174, 	156.6531, 	0.706897%, 	0.400000%, 	0.306897%
2020-04-10 16:04:37, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17548, 	3999.92, 	0.1744, 	4000.0, 	0.619266%, 	0.400000%, 	0.219266%
2020-04-10 16:04:52, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17548, 	3999.92, 	0.1745, 	500.0, 	0.561605%, 	0.400000%, 	0.161605%
2020-04-10 16:05:07, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17548, 	3999.92, 	0.1745, 	500.0, 	0.561605%, 	0.400000%, 	0.161605%
2020-04-10 16:05:22, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17484, 	3999.92, 	0.1745, 	4500.0, 	0.194842%, 	0.400000%, 	-0.205158%
2020-04-10 17:11:13, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17434, 	2000.0, 	0.17, 	2000.0, 	2.552941%, 	0.400000%, 	2.152941%
2020-04-10 17:11:28, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17434, 	2000.0, 	0.17, 	2000.0, 	2.552941%, 	0.400000%, 	2.152941%
2020-04-10 17:11:43, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17434, 	2000.0, 	0.1701, 	2000.0, 	2.492651%, 	0.400000%, 	2.092651%
2020-04-10 17:11:58, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.1745, 	2000.0, 	0.1703, 	2000.0, 	2.466236%, 	0.400000%, 	2.066236%
2020-04-10 17:12:13, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.1749, 	2000.0, 	0.1707, 	500.0, 	2.460457%, 	0.400000%, 	2.060457%
2020-04-10 17:12:28, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.1749, 	2000.0, 	0.1707, 	500.0, 	2.460457%, 	0.400000%, 	2.060457%
2020-04-10 17:12:43, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17466, 	2000.0, 	0.1707, 	2500.0, 	2.319859%, 	0.400000%, 	1.919859%
2020-04-10 17:12:58, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17466, 	2000.0, 	0.1707, 	2500.0, 	2.319859%, 	0.400000%, 	1.919859%
2020-04-10 17:13:13, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17466, 	2000.0, 	0.1707, 	500.0, 	2.319859%, 	0.400000%, 	1.919859%
2020-04-10 17:13:28, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17434, 	2000.0, 	0.1705, 	2000.0, 	2.252199%, 	0.400000%, 	1.852199%
2020-04-10 17:13:43, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17434, 	2000.0, 	0.17, 	2000.0, 	2.552941%, 	0.400000%, 	2.152941%
2020-04-10 17:13:58, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.171, 	605.21731559, 	0.1696, 	2000.0, 	0.825472%, 	0.400000%, 	0.425472%
2020-04-10 17:14:13, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17275, 	2000.0, 	0.1679, 	2000.0, 	2.888624%, 	0.400000%, 	2.488624%
2020-04-10 17:14:28, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.1727, 	2000.0, 	0.1679, 	2000.0, 	2.858845%, 	0.400000%, 	2.458845%
2020-04-10 17:14:43, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17296, 	2000.0, 	0.1682, 	2000.0, 	2.829964%, 	0.400000%, 	2.429964%
2020-04-10 17:14:58, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17337, 	2000.0, 	0.1687, 	2125.0, 	2.768228%, 	0.400000%, 	2.368228%
2020-04-10 17:15:13, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17315, 	2000.0, 	0.1685, 	2000.0, 	2.759644%, 	0.400000%, 	2.359644%
2020-04-10 17:15:28, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17296, 	2000.0, 	0.1683, 	2000.0, 	2.768865%, 	0.400000%, 	2.368865%
2020-04-10 17:15:43, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17251, 	290.89264205, 	0.1677, 	2000.0, 	2.868217%, 	0.400000%, 	2.468217%
2020-04-10 17:15:58, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17255, 	2000.0, 	0.1678, 	2000.0, 	2.830751%, 	0.400000%, 	2.430751%
2020-04-10 17:16:13, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17256, 	290.87278725, 	0.1678, 	4337.4414, 	2.836710%, 	0.400000%, 	2.436710%
2020-04-10 17:16:28, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17188, 	291.01182778, 	0.1672, 	2000.0, 	2.799043%, 	0.400000%, 	2.399043%
2020-04-10 17:16:43, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17188, 	291.01182778, 	0.1672, 	2000.0, 	2.799043%, 	0.400000%, 	2.399043%
2020-04-10 17:16:58, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17234, 	2000.0, 	0.1681, 	2000.0, 	2.522308%, 	0.400000%, 	2.122308%
