2020-04-10 16:00:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21209243.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:01:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21615702.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:01:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21190504.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:01:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21183662.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:01:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21958253.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:02:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21818849.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:02:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21548815.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:02:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21561298.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:02:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21523837.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:03:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21466131.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:03:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21600244.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:03:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21533694.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:03:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21413917.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:04:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21276861.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:04:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20776731.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:04:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20776731.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:04:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20763370.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:05:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20860575.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:05:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20839106.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:05:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20707166.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:05:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21244007.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:06:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21100259.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:06:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21198912.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:06:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21404359.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:06:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21497105.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:07:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21497105.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:07:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21206227.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:07:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21415283.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:07:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21153284.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:08:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21153284.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:08:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21223512.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:08:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21087558.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:08:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21304474.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:09:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21328318.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:09:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21505429.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:09:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21505429.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:09:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21570526.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:10:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21612615.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:10:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21593582.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:10:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	22093582.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:10:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	22027216.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:11:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	22000826.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:11:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	22077193.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:11:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	22210610.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:11:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	22035892.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:12:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21692898.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:12:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21583870.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:12:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21146761.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:12:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21004040.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:13:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21039600.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:13:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21164336.0, 	2.127660%, 	0.300000%, 	1.827660%
