2020-04-09 06:58:07, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2828, 	265.714, 	0.28, 	5.41799572, 	1.000000%, 	0.400000%, 	0.600000%
2020-04-09 06:58:22, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 06:58:37, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 06:58:52, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 06:59:07, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 06:59:22, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 06:59:37, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	2785.246, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 06:59:52, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:00:07, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:00:22, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:00:37, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:00:52, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:01:07, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:01:22, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:01:37, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:01:52, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	25.848, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:02:07, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:02:22, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:02:37, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
2020-04-09 07:02:52, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2827, 	24.786, 	0.28, 	5.41799572, 	0.964286%, 	0.400000%, 	0.564286%
