2020-04-09 12:44:52, 	OKEX        , 	Poloniex    , 	ARDR/BTC, 	5.02e-06, 	8.0, 	4.99e-06, 	1363.85407861, 	0.601202%, 	0.240000%, 	0.361202%
2020-04-09 12:45:07, 	OKEX        , 	Poloniex    , 	ARDR/BTC, 	5.02e-06, 	8.0, 	4.99e-06, 	1363.8486829, 	0.601202%, 	0.240000%, 	0.361202%
2020-04-09 12:45:22, 	OKEX        , 	Poloniex    , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5.1e-06, 	5079.92268051, 	-1.568627%, 	0.240000%, 	-1.808627%
