2020-04-09 21:43:28, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:43:43, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:43:58, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:44:13, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	16.71911282, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:44:28, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:44:43, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:44:58, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:45:13, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:45:28, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:45:43, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
2020-04-09 21:45:58, 	Poloniex    , 	OKEX        , 	LSK/BTC, 	0.00014342, 	15.41681524, 	0.000143, 	2.025, 	0.293706%, 	0.240000%, 	0.053706%
