2020-04-08 19:32:42, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	2171.67, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:32:57, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	2171.67, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:33:12, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001431, 	1992.91, 	0.628931%, 	0.250000%, 	0.378931%
2020-04-08 19:33:27, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.000143, 	49.42, 	0.699301%, 	0.250000%, 	0.449301%
2020-04-08 19:33:42, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.000143, 	50.92, 	0.699301%, 	0.250000%, 	0.449301%
2020-04-08 19:33:57, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.000143, 	45.51, 	0.699301%, 	0.250000%, 	0.449301%
2020-04-08 19:34:12, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.000143, 	45.28, 	0.699301%, 	0.250000%, 	0.449301%
2020-04-08 19:34:27, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.000143, 	45.28, 	0.699301%, 	0.250000%, 	0.449301%
2020-04-08 19:34:42, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.000143, 	0.03, 	0.699301%, 	0.250000%, 	0.449301%
2020-04-08 19:34:57, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.000143, 	0.03, 	0.699301%, 	0.250000%, 	0.449301%
2020-04-08 19:35:12, 	OKEX        , 	Binance     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.000143, 	0.03, 	0.699301%, 	0.250000%, 	0.449301%
