2020-04-09 21:42:55, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:43:10, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:43:25, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	24.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:43:40, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:43:55, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	24.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:44:10, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	24.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:44:25, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	97.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:44:40, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:44:55, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	97.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:45:10, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	97.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:45:25, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	24.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:45:40, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	97.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:45:55, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	24.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:46:10, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	97.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:46:25, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	98.0999, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:46:40, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	97.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:46:55, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	97.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:47:10, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	24.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:47:25, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	97.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:47:40, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	97.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:47:55, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	97.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:48:10, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	24.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:48:25, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	97.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:48:40, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	24.3333, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:48:55, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00357, 	1865.182, 	0.231933%, 	0.410000%, 	-0.178067%
