2020-04-09 13:12:05, 	Bittrex     , 	Binance     , 	CVC/ETH, 	0.00012599, 	0.21125716, 	0.0001255, 	91127.0, 	0.390438%, 	0.350000%, 	0.040438%
2020-04-09 13:12:20, 	Bittrex     , 	Binance     , 	CVC/ETH, 	0.00012599, 	0.21125716, 	0.00012539, 	30000.0, 	0.478507%, 	0.350000%, 	0.128507%
2020-04-09 13:12:35, 	Bittrex     , 	Binance     , 	CVC/ETH, 	0.00012599, 	0.21125716, 	0.00012561, 	2001.0, 	0.302524%, 	0.350000%, 	-0.047476%
