2020-04-10 08:52:04, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.001e-05, 	122.469, 	3.947e-05, 	5.3296022, 	1.368128%, 	0.400000%, 	0.968128%
2020-04-10 08:52:19, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.983e-05, 	32.209, 	3.947e-05, 	5.3296022, 	0.912085%, 	0.400000%, 	0.512085%
2020-04-10 08:52:34, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.982e-05, 	409.007, 	3.947e-05, 	5.3296022, 	0.886749%, 	0.400000%, 	0.486749%
2020-04-10 08:52:49, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.983e-05, 	434.017, 	3.947e-05, 	5.3296022, 	0.912085%, 	0.400000%, 	0.512085%
2020-04-10 08:53:04, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.994e-05, 	401.846, 	3.947e-05, 	5.3296022, 	1.190778%, 	0.400000%, 	0.790778%
2020-04-10 08:53:19, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.998e-05, 	725.544, 	3.947e-05, 	5.3296022, 	1.292121%, 	0.400000%, 	0.892121%
2020-04-10 08:53:34, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4e-05, 	1.176, 	3.947e-05, 	5.3296022, 	1.342792%, 	0.400000%, 	0.942792%
2020-04-10 08:53:49, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.001e-05, 	135.27, 	3.947e-05, 	5.3296022, 	1.368128%, 	0.400000%, 	0.968128%
2020-04-10 08:54:04, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.001e-05, 	135.27, 	3.947e-05, 	5.3296022, 	1.368128%, 	0.400000%, 	0.968128%
2020-04-10 08:54:19, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.008e-05, 	118.512, 	3.947e-05, 	5.3296022, 	1.545478%, 	0.400000%, 	1.145478%
2020-04-10 08:54:34, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.004e-05, 	764.722, 	3.947e-05, 	5.3296022, 	1.444135%, 	0.400000%, 	1.044135%
2020-04-10 08:54:49, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.001e-05, 	499.968, 	3.947e-05, 	5.3296022, 	1.368128%, 	0.400000%, 	0.968128%
2020-04-10 08:55:04, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.983e-05, 	859.474, 	3.947e-05, 	5.3296022, 	0.912085%, 	0.400000%, 	0.512085%
2020-04-10 08:55:19, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.007e-05, 	123.533, 	3.947e-05, 	5.3296022, 	1.520142%, 	0.400000%, 	1.120142%
2020-04-10 08:55:34, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.97e-05, 	52.877, 	3.947e-05, 	5.3296022, 	0.582721%, 	0.400000%, 	0.182721%
2020-04-10 08:55:49, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4e-05, 	132.804, 	3.947e-05, 	5.3296022, 	1.342792%, 	0.400000%, 	0.942792%
2020-04-10 08:56:04, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.991e-05, 	411.331, 	3.947e-05, 	5.3296022, 	1.114771%, 	0.400000%, 	0.714771%
2020-04-10 08:56:19, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.019e-05, 	192.836, 	3.947e-05, 	5.3296022, 	1.824170%, 	0.400000%, 	1.424170%
2020-04-10 08:56:34, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.033e-05, 	83.369, 	3.947e-05, 	5.3296022, 	2.178870%, 	0.400000%, 	1.778870%
2020-04-10 08:56:49, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.033e-05, 	83.369, 	3.947e-05, 	5.3296022, 	2.178870%, 	0.400000%, 	1.778870%
2020-04-10 08:57:04, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.035e-05, 	83.328, 	3.947e-05, 	5.3296022, 	2.229541%, 	0.400000%, 	1.829541%
2020-04-10 08:57:19, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.033e-05, 	73.149, 	3.947e-05, 	5.3296022, 	2.178870%, 	0.400000%, 	1.778870%
2020-04-10 08:57:34, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.036e-05, 	1595.298, 	3.947e-05, 	5.3296022, 	2.254877%, 	0.400000%, 	1.854877%
2020-04-10 08:57:49, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.03e-05, 	83.432, 	3.947e-05, 	5.3296022, 	2.102863%, 	0.400000%, 	1.702863%
2020-04-10 08:58:04, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.033e-05, 	83.369, 	3.947e-05, 	5.3296022, 	2.178870%, 	0.400000%, 	1.778870%
2020-04-10 08:58:19, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.034e-05, 	83.349, 	3.947e-05, 	5.3296022, 	2.204206%, 	0.400000%, 	1.804206%
2020-04-10 08:58:34, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.034e-05, 	83.349, 	3.947e-05, 	5.3296022, 	2.204206%, 	0.400000%, 	1.804206%
2020-04-10 08:58:49, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.035e-05, 	83.328, 	3.947e-05, 	5.3296022, 	2.229541%, 	0.400000%, 	1.829541%
2020-04-10 08:59:04, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.027e-05, 	2121.512, 	3.947e-05, 	5.3296022, 	2.026856%, 	0.400000%, 	1.626856%
2020-04-10 08:59:20, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.036e-05, 	73.095, 	3.947e-05, 	5.3296022, 	2.254877%, 	0.400000%, 	1.854877%
2020-04-10 08:59:35, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.028e-05, 	1225.763, 	3.947e-05, 	5.3296022, 	2.052192%, 	0.400000%, 	1.652192%
2020-04-10 08:59:50, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.034e-05, 	83.349, 	3.947e-05, 	5.3296022, 	2.204206%, 	0.400000%, 	1.804206%
2020-04-10 09:00:05, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.025e-05, 	83.536, 	3.947e-05, 	5.3296022, 	1.976184%, 	0.400000%, 	1.576184%
2020-04-10 09:00:20, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.034e-05, 	83.349, 	3.947e-05, 	5.3296022, 	2.204206%, 	0.400000%, 	1.804206%
2020-04-10 09:00:35, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.038e-05, 	456.084, 	3.947e-05, 	5.3296022, 	2.305549%, 	0.400000%, 	1.905549%
2020-04-10 09:00:50, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.041e-05, 	1041.651, 	3.947e-05, 	5.3296022, 	2.381556%, 	0.400000%, 	1.981556%
2020-04-10 09:01:05, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.042e-05, 	472.482, 	3.947e-05, 	5.3296022, 	2.406891%, 	0.400000%, 	2.006891%
2020-04-10 09:01:20, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	4.039e-05, 	2921.502, 	3.947e-05, 	5.3296022, 	2.330884%, 	0.400000%, 	1.930884%
2020-04-10 09:01:35, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.977e-05, 	21.893, 	3.947e-05, 	5.3296022, 	0.760071%, 	0.400000%, 	0.360071%
2020-04-10 09:01:50, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.986e-05, 	1781.578, 	3.947e-05, 	5.3296022, 	0.988092%, 	0.400000%, 	0.588092%
2020-04-10 09:02:05, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.987e-05, 	32.176, 	3.947e-05, 	5.3296022, 	1.013428%, 	0.400000%, 	0.613428%
2020-04-10 09:02:20, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.988e-05, 	127.658, 	4.027e-05, 	49.9548378, 	-0.968463%, 	0.400000%, 	-1.368463%
