2020-04-10 14:31:42, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.501e-05, 	2961.48961747, 	2.527e-05, 	117.0071, 	-1.028888%, 	0.400000%, 	-1.428888%
2020-04-10 14:38:59, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.501e-05, 	3999.92, 	2.489e-05, 	100.0, 	0.482121%, 	0.400000%, 	0.082121%
2020-04-10 14:39:14, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.508e-05, 	3999.92, 	2.491e-05, 	4000.0, 	0.682457%, 	0.400000%, 	0.282457%
2020-04-10 14:39:29, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.487e-05, 	2903.52247574, 	2.472e-05, 	4000.0, 	0.606796%, 	0.400000%, 	0.206796%
2020-04-10 14:39:44, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.485e-05, 	3999.92, 	2.472e-05, 	4000.0, 	0.525890%, 	0.400000%, 	0.125890%
2020-04-10 14:39:59, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.48e-05, 	3999.92, 	2.47e-05, 	4000.0, 	0.404858%, 	0.400000%, 	0.004858%
2020-04-10 14:40:14, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.477e-05, 	3999.92, 	2.466e-05, 	4000.0, 	0.446067%, 	0.400000%, 	0.046067%
2020-04-10 14:40:29, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.472e-05, 	3999.92, 	2.458e-05, 	4000.0, 	0.569569%, 	0.400000%, 	0.169569%
2020-04-10 14:40:44, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.473e-05, 	3999.92, 	2.46e-05, 	4000.0, 	0.528455%, 	0.400000%, 	0.128455%
2020-04-10 14:40:59, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.473e-05, 	3999.92, 	2.462e-05, 	4000.0, 	0.446791%, 	0.400000%, 	0.046791%
2020-04-10 14:41:14, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.468e-05, 	2937.66660466, 	2.458e-05, 	4000.0, 	0.406835%, 	0.400000%, 	0.006835%
2020-04-10 14:41:29, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.468e-05, 	3999.92, 	2.458e-05, 	4000.0, 	0.406835%, 	0.400000%, 	0.006835%
2020-04-10 14:41:44, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.412e-05, 	607.90273556, 	2.451e-05, 	4000.0, 	-1.591187%, 	0.400000%, 	-1.991187%
2020-04-10 15:39:18, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.482e-05, 	591.13300492, 	2.517e-05, 	500.0, 	-1.390544%, 	0.400000%, 	-1.790544%
2020-04-10 15:45:18, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.55e-05, 	3999.92, 	2.532e-05, 	500.0, 	0.710900%, 	0.400000%, 	0.310900%
2020-04-10 15:45:33, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.55e-05, 	3999.92, 	2.532e-05, 	500.0, 	0.710900%, 	0.400000%, 	0.310900%
2020-04-10 15:45:48, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.547e-05, 	3999.92, 	2.532e-05, 	500.0, 	0.592417%, 	0.400000%, 	0.192417%
2020-04-10 15:46:03, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.547e-05, 	3999.92, 	2.532e-05, 	500.0, 	0.592417%, 	0.400000%, 	0.192417%
2020-04-10 15:46:18, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.544e-05, 	3999.92, 	2.532e-05, 	4500.0, 	0.473934%, 	0.400000%, 	0.073934%
2020-04-10 15:46:33, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.545e-05, 	3999.92, 	2.532e-05, 	500.0, 	0.513428%, 	0.400000%, 	0.113428%
2020-04-10 15:46:48, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.551e-05, 	3999.92, 	2.532e-05, 	500.0, 	0.750395%, 	0.400000%, 	0.350395%
