2020-04-11 16:53:08, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:54:18, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:54:33, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:54:48, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:55:59, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:56:14, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:56:29, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:57:39, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:57:54, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:58:09, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:59:20, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:59:35, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 16:59:50, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
2020-04-11 17:01:01, 	Poloniex    , 	Bitfinex    , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	267.77, 	0.556348%, 	0.290000%, 	0.266348%
