2020-04-08 21:54:15, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245111.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:54:30, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245111.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:54:45, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:55:00, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:55:15, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:55:30, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:55:45, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:56:00, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:56:15, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:56:30, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:56:45, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:57:00, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:57:15, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:57:30, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:57:45, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:58:00, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:58:15, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:58:30, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:58:45, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:59:00, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245295.0, 	5.9e-07, 	25000.0, 	0.000000%, 	0.350000%, 	-0.350000%
