2020-04-11 12:20:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751090.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:20:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751090.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:20:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751090.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:21:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751090.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:21:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751090.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:21:26, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751090.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:21:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751090.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:21:41, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	697862.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:21:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	697862.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:21:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	697862.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:21:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	697862.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:22:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	697862.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:22:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:22:26, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:22:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:22:41, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:22:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:22:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:22:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:23:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:23:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:23:26, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:23:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	714762.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
