2020-04-07 22:17:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6615.03, 	0.058267, 	6574.9, 	0.004368, 	0.610351%, 	0.360000%, 	0.250351%
2020-04-07 22:18:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6566.7, 	0.002373, 	0.979183%, 	0.360000%, 	0.619183%
2020-04-07 22:18:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6562.6, 	0.002373, 	1.042270%, 	0.360000%, 	0.682270%
2020-04-07 22:19:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6559.2, 	0.002373, 	1.094646%, 	0.360000%, 	0.734646%
2020-04-07 22:19:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6559.2, 	0.002373, 	1.094646%, 	0.360000%, 	0.734646%
2020-04-07 22:20:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6559.1, 	0.002373, 	1.096187%, 	0.360000%, 	0.736187%
2020-04-07 22:20:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6566.1, 	0.002373, 	0.988410%, 	0.360000%, 	0.628410%
2020-04-07 22:21:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6569.5, 	0.002373, 	0.936144%, 	0.360000%, 	0.576144%
2020-04-07 22:21:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6569.5, 	0.002373, 	0.936144%, 	0.360000%, 	0.576144%
2020-04-07 22:22:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6570.0, 	0.066152, 	0.928463%, 	0.360000%, 	0.568463%
2020-04-07 22:22:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6571.3, 	0.058893, 	0.908496%, 	0.360000%, 	0.548496%
2020-04-07 22:23:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6571.4, 	0.058893, 	0.906960%, 	0.360000%, 	0.546960%
2020-04-07 22:23:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6571.4, 	0.058893, 	0.906960%, 	0.360000%, 	0.546960%
2020-04-07 22:24:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6571.2, 	0.042598, 	0.910032%, 	0.360000%, 	0.550032%
2020-04-07 22:24:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6566.4, 	0.042598, 	0.983796%, 	0.360000%, 	0.623796%
2020-04-07 22:25:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6566.3, 	0.042598, 	0.985334%, 	0.360000%, 	0.625334%
2020-04-07 22:25:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6566.3, 	0.042598, 	0.985334%, 	0.360000%, 	0.625334%
2020-04-07 22:26:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.333863, 	6560.1, 	0.042598, 	1.080776%, 	0.360000%, 	0.720776%
2020-04-07 22:26:30, 	Binance     , 	Kraken      , 	BTC/EUR, 	6631.0, 	0.282348, 	6558.3, 	0.030267, 	1.108519%, 	0.360000%, 	0.748519%
2020-04-07 22:27:00, 	Binance     , 	Kraken      , 	BTC/EUR, 	6623.07, 	0.002373, 	6555.4, 	0.025555, 	1.032279%, 	0.360000%, 	0.672279%
