2020-04-08 19:16:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.703e-05, 	4999.9, 	2.66e-05, 	2000.101, 	1.616541%, 	0.400000%, 	1.216541%
2020-04-08 19:16:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.704e-05, 	745.72342269, 	2.66e-05, 	1109.9884, 	1.654135%, 	0.400000%, 	1.254135%
2020-04-08 19:17:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.67e-05, 	5829.6376, 	1.385768%, 	0.400000%, 	0.985768%
2020-04-08 19:17:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.67e-05, 	6016.8148, 	1.385768%, 	0.400000%, 	0.985768%
2020-04-08 19:17:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.67e-05, 	2779.1628, 	1.385768%, 	0.400000%, 	0.985768%
2020-04-08 19:17:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.67e-05, 	5710.0844, 	1.385768%, 	0.400000%, 	0.985768%
2020-04-08 19:18:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.67e-05, 	5126.9072, 	1.385768%, 	0.400000%, 	0.985768%
2020-04-08 19:18:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.707e-05, 	744.08580534, 	2.67e-05, 	1039.0723, 	1.385768%, 	0.400000%, 	0.985768%
2020-04-08 19:18:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	3330.4193, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:18:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	3463.4193, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:19:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	3463.4193, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:19:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	3330.4193, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:19:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	611.0695, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:19:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	611.0695, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:20:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	611.0695, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:20:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	386.5923, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:20:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	386.5923, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:20:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	2057.3092, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:21:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	2057.3092, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:21:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	6141.3092, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:21:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	2057.3092, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:21:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	2057.3092, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:22:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	742.45357642, 	2.67e-05, 	1691.6092, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:22:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.711e-05, 	703.89415092, 	2.67e-05, 	4711.8923, 	1.535581%, 	0.400000%, 	1.135581%
2020-04-08 19:22:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	772.43805697, 	2.67e-05, 	3722.4759, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:22:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.67e-05, 	20.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:23:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.709e-05, 	4999.9, 	2.67e-05, 	20.7151, 	1.460674%, 	0.400000%, 	1.060674%
2020-04-08 19:23:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.67e-05, 	20.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:23:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.67e-05, 	20.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:23:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.67e-05, 	20.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:24:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.67e-05, 	20.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:24:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.741e-05, 	175.06307163, 	2.67e-05, 	20.7151, 	2.659176%, 	0.400000%, 	2.259176%
2020-04-08 19:24:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.741e-05, 	175.06307163, 	2.67e-05, 	20.7151, 	2.659176%, 	0.400000%, 	2.259176%
2020-04-08 19:24:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.741e-05, 	175.06307163, 	2.67e-05, 	20.7151, 	2.659176%, 	0.400000%, 	2.259176%
2020-04-08 19:25:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	1399.03340666, 	2.67e-05, 	20.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:25:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.711e-05, 	726.20220097, 	2.67e-05, 	20.7151, 	1.535581%, 	0.400000%, 	1.135581%
2020-04-08 19:25:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.711e-05, 	726.20220097, 	2.67e-05, 	20.7151, 	1.535581%, 	0.400000%, 	1.135581%
2020-04-08 19:25:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.67e-05, 	620.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:26:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.709e-05, 	749.58170217, 	2.67e-05, 	20.7151, 	1.460674%, 	0.400000%, 	1.060674%
2020-04-08 19:26:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.711e-05, 	703.89415092, 	2.67e-05, 	20.7151, 	1.535581%, 	0.400000%, 	1.135581%
2020-04-08 19:26:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.714e-05, 	746.84622956, 	2.67e-05, 	20.7151, 	1.647940%, 	0.400000%, 	1.247940%
2020-04-08 19:26:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.714e-05, 	746.84622956, 	2.67e-05, 	20.7151, 	1.647940%, 	0.400000%, 	1.247940%
2020-04-08 19:27:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.67e-05, 	379.7151, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:27:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.707e-05, 	4999.9, 	2.67e-05, 	979.7151, 	1.385768%, 	0.400000%, 	0.985768%
2020-04-08 19:27:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.67e-05, 	4252.694, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:27:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.67e-05, 	2439.864, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:28:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.67e-05, 	379.7151, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:28:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.67e-05, 	379.7151, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:28:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.67e-05, 	379.7151, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:28:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.67e-05, 	379.7151, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:29:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.67e-05, 	379.7151, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:29:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.67e-05, 	379.7151, 	1.423221%, 	0.400000%, 	1.023221%
2020-04-08 19:29:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.709e-05, 	4999.9, 	2.67e-05, 	379.7151, 	1.460674%, 	0.400000%, 	1.060674%
2020-04-08 19:29:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	379.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:30:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	379.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:30:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	379.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:30:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	379.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:30:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	379.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:31:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	20.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:31:21, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	20.7151, 	1.498127%, 	0.400000%, 	1.098127%
2020-04-08 19:31:36, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	20.7151, 	1.498127%, 	0.400000%, 	1.098127%
