2020-04-08 23:46:02, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0264, 	193.9183, 	1.02077, 	855.299, 	0.551544%, 	0.410000%, 	0.141544%
2020-04-08 23:46:17, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0269, 	279.5702, 	1.02077, 	855.299, 	0.600527%, 	0.410000%, 	0.190527%
2020-04-08 23:46:32, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0267, 	193.8617, 	1.02077, 	855.299, 	0.580934%, 	0.410000%, 	0.170934%
2020-04-08 23:46:47, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0268, 	193.8428, 	1.02077, 	855.299, 	0.590731%, 	0.410000%, 	0.180731%
2020-04-08 23:47:02, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0264, 	193.9183, 	1.02077, 	855.299, 	0.551544%, 	0.410000%, 	0.141544%
2020-04-08 23:47:17, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.026, 	193.9939, 	1.02048, 	475.289, 	0.540922%, 	0.410000%, 	0.130922%
2020-04-08 23:47:32, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.026, 	473.8093, 	1.02048, 	475.289, 	0.540922%, 	0.410000%, 	0.130922%
2020-04-08 23:47:47, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0262, 	193.9561, 	1.02048, 	475.289, 	0.560521%, 	0.410000%, 	0.150521%
2020-04-08 23:48:02, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0264, 	193.9183, 	1.02048, 	475.289, 	0.580119%, 	0.410000%, 	0.170119%
2020-04-08 23:48:17, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0266, 	193.8806, 	1.02048, 	475.289, 	0.599718%, 	0.410000%, 	0.189718%
2020-04-08 23:48:32, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0272, 	279.4885, 	1.02048, 	475.289, 	0.658514%, 	0.410000%, 	0.248514%
2020-04-08 23:48:47, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0271, 	473.3019, 	1.02048, 	475.289, 	0.648714%, 	0.410000%, 	0.238714%
2020-04-08 23:49:02, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.027, 	193.805, 	1.02048, 	475.289, 	0.638915%, 	0.410000%, 	0.228915%
2020-04-08 23:49:17, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0267, 	473.4863, 	1.02048, 	475.289, 	0.609517%, 	0.410000%, 	0.199517%
2020-04-08 23:49:32, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0268, 	193.8428, 	1.02048, 	475.289, 	0.619316%, 	0.410000%, 	0.209316%
2020-04-08 23:49:47, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0271, 	193.7862, 	1.02048, 	475.289, 	0.648714%, 	0.410000%, 	0.238714%
2020-04-08 23:50:02, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0272, 	193.7673, 	1.02048, 	475.289, 	0.658514%, 	0.410000%, 	0.248514%
2020-04-08 23:50:17, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0273, 	279.4613, 	1.02048, 	475.289, 	0.668313%, 	0.410000%, 	0.258313%
2020-04-08 23:50:32, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0272, 	168.6295, 	1.02048, 	475.289, 	0.658514%, 	0.410000%, 	0.248514%
2020-04-08 23:50:47, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0268, 	473.4402, 	1.02048, 	475.289, 	0.619316%, 	0.410000%, 	0.209316%
2020-04-08 23:51:02, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0266, 	193.8806, 	1.02048, 	475.289, 	0.599718%, 	0.410000%, 	0.189718%
2020-04-08 23:51:17, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0269, 	505.8965, 	1.02048, 	475.289, 	0.629116%, 	0.410000%, 	0.219116%
2020-04-08 23:51:32, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0272, 	193.7673, 	1.02048, 	475.289, 	0.658514%, 	0.410000%, 	0.248514%
2020-04-08 23:51:47, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0271, 	193.7862, 	1.02048, 	475.289, 	0.648714%, 	0.410000%, 	0.238714%
2020-04-08 23:52:02, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0272, 	473.2558, 	1.02048, 	475.289, 	0.658514%, 	0.410000%, 	0.248514%
2020-04-08 23:52:17, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0271, 	473.3019, 	1.02048, 	475.289, 	0.648714%, 	0.410000%, 	0.238714%
2020-04-08 23:52:32, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0271, 	641.9193, 	1.02048, 	475.289, 	0.648714%, 	0.410000%, 	0.238714%
2020-04-08 23:52:47, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0272, 	193.7673, 	1.02048, 	475.289, 	0.658514%, 	0.410000%, 	0.248514%
2020-04-08 23:53:02, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	13.2423, 	1.02093, 	393.4, 	0.212551%, 	0.410000%, 	-0.197449%
2020-04-09 00:07:29, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0266, 	505.3166, 	1.0205, 	465.289, 	0.597746%, 	0.410000%, 	0.187746%
2020-04-09 00:07:44, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0269, 	432.0122, 	1.0205, 	465.289, 	0.627144%, 	0.410000%, 	0.217144%
2020-04-09 00:07:59, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0271, 	431.9281, 	1.0205, 	465.289, 	0.646742%, 	0.410000%, 	0.236742%
2020-04-09 00:08:14, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0271, 	431.9281, 	1.0205, 	465.289, 	0.646742%, 	0.410000%, 	0.236742%
2020-04-09 00:08:29, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0257, 	168.8127, 	1.0205, 	465.289, 	0.509554%, 	0.410000%, 	0.099554%
2020-04-09 00:08:44, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0262, 	193.9561, 	1.0205, 	465.289, 	0.558550%, 	0.410000%, 	0.148550%
2020-04-09 00:08:59, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0267, 	238.2347, 	1.0205, 	465.289, 	0.607545%, 	0.410000%, 	0.197545%
2020-04-09 00:09:14, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0271, 	238.1419, 	1.0205, 	465.289, 	0.646742%, 	0.410000%, 	0.236742%
2020-04-09 00:09:29, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	13.2423, 	1.02097, 	465.289, 	0.208625%, 	0.410000%, 	-0.201375%
2020-04-09 00:33:36, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0253, 	280.041, 	1.02046, 	3316.984, 	0.474296%, 	0.410000%, 	0.064296%
2020-04-09 00:33:51, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0261, 	193.975, 	1.02046, 	3316.984, 	0.552692%, 	0.410000%, 	0.142692%
2020-04-09 00:34:06, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0269, 	473.4286, 	1.02046, 	3316.984, 	0.631088%, 	0.410000%, 	0.221088%
2020-04-09 00:34:21, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0273, 	193.7484, 	1.02046, 	3316.984, 	0.670286%, 	0.410000%, 	0.260286%
2020-04-09 00:34:36, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0275, 	473.1521, 	1.02046, 	3316.984, 	0.689885%, 	0.410000%, 	0.279885%
2020-04-09 00:34:51, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0284, 	279.1969, 	1.02046, 	3316.984, 	0.778080%, 	0.410000%, 	0.368080%
2020-04-09 00:35:06, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0292, 	278.9798, 	1.02046, 	3316.984, 	0.856476%, 	0.410000%, 	0.446476%
2020-04-09 00:35:21, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.027, 	279.5775, 	1.02046, 	2889.25, 	0.640887%, 	0.410000%, 	0.230887%
2020-04-09 00:35:36, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0274, 	473.1982, 	1.02046, 	3315.484, 	0.680085%, 	0.410000%, 	0.270085%
