2020-04-10 08:17:22, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	2717.66951366, 	159.35, 	70618.0, 	0.960151%, 	0.700000%, 	0.260151%
2020-04-10 08:17:37, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	2317.2484172, 	159.35, 	79202.0, 	0.960151%, 	0.700000%, 	0.260151%
2020-04-10 08:17:52, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	1735.97462701, 	159.2, 	65162.0, 	1.055276%, 	0.700000%, 	0.355276%
2020-04-10 08:18:07, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	300.87134209, 	159.15, 	35948.0, 	1.087025%, 	0.700000%, 	0.387025%
2020-04-10 08:18:22, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	27813.71652543, 	159.3, 	66456.0, 	0.784683%, 	0.700000%, 	0.084683%
2020-04-10 08:18:37, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	26407.94436766, 	159.1, 	8175.0, 	0.911376%, 	0.700000%, 	0.211376%
2020-04-10 08:18:52, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	25868.50469456, 	159.15, 	6000.0, 	0.879673%, 	0.700000%, 	0.179673%
2020-04-10 08:19:07, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	25558.05789769, 	159.0, 	70729.0, 	0.974843%, 	0.700000%, 	0.274843%
2020-04-10 08:19:22, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	25190.40169276, 	159.0, 	25502.0, 	0.974843%, 	0.700000%, 	0.274843%
2020-04-10 08:19:37, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	24569.06297528, 	159.05, 	51677.0, 	0.943100%, 	0.700000%, 	0.243100%
2020-04-10 08:19:52, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	23973.15170796, 	159.0, 	59070.0, 	0.974843%, 	0.700000%, 	0.274843%
2020-04-10 08:20:07, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	21846.54870426, 	158.95, 	65554.0, 	1.006606%, 	0.700000%, 	0.306606%
2020-04-10 08:20:22, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	19919.32696364, 	158.9, 	39380.0, 	1.038389%, 	0.700000%, 	0.338389%
2020-04-10 08:20:37, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	16438.79052374, 	158.75, 	34510.0, 	1.133858%, 	0.700000%, 	0.433858%
2020-04-10 08:20:52, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	13948.25188711, 	158.45, 	395.0, 	1.325339%, 	0.700000%, 	0.625339%
2020-04-10 08:21:07, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	12236.16636039, 	158.4, 	69816.0, 	1.357323%, 	0.700000%, 	0.657323%
2020-04-10 08:21:22, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	7787.29738876, 	158.6, 	976.0, 	1.229508%, 	0.700000%, 	0.529508%
2020-04-10 08:21:37, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	6623.87198247, 	158.8, 	11672.0, 	1.102015%, 	0.700000%, 	0.402015%
2020-04-10 08:21:52, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	6309.23760796, 	159.15, 	45000.0, 	0.879673%, 	0.700000%, 	0.179673%
2020-04-10 08:22:07, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	5836.73192001, 	158.9, 	45086.0, 	1.038389%, 	0.700000%, 	0.338389%
2020-04-10 08:22:22, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	5699.40209617, 	158.9, 	17657.0, 	1.038389%, 	0.700000%, 	0.338389%
2020-04-10 08:22:37, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	5206.96513351, 	158.95, 	132835.0, 	1.006606%, 	0.700000%, 	0.306606%
2020-04-10 08:22:52, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	4714.45593663, 	159.1, 	4309.0, 	0.911376%, 	0.700000%, 	0.211376%
2020-04-10 08:23:07, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	4479.51070478, 	159.2, 	82616.0, 	0.847990%, 	0.700000%, 	0.147990%
2020-04-10 08:23:22, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	4142.37219781, 	159.15, 	45792.0, 	0.879673%, 	0.700000%, 	0.179673%
2020-04-10 08:23:37, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	3807.19667881, 	159.1, 	62163.0, 	0.911376%, 	0.700000%, 	0.211376%
2020-04-10 08:23:52, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	3290.21150029, 	159.0, 	43870.0, 	0.974843%, 	0.700000%, 	0.274843%
2020-04-10 08:24:07, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	2987.72257181, 	159.0, 	7733.0, 	0.974843%, 	0.700000%, 	0.274843%
2020-04-10 08:24:22, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.55, 	2980.11369283, 	159.15, 	75138.0, 	0.879673%, 	0.700000%, 	0.179673%
2020-04-10 08:24:37, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	159.62, 	75.0, 	158.9, 	49611.0, 	0.453115%, 	0.700000%, 	-0.246885%
