2020-04-08 23:15:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.0001394, 	63.0, 	0.789096%, 	0.450000%, 	0.339096%
2020-04-08 23:15:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.00013939, 	14.3358899, 	0.796327%, 	0.450000%, 	0.346327%
2020-04-08 23:16:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.00013938, 	63.0, 	0.803559%, 	0.450000%, 	0.353559%
2020-04-08 23:16:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.00013937, 	14.3358899, 	0.810791%, 	0.450000%, 	0.360791%
2020-04-08 23:16:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.00013935, 	14.3358899, 	0.825260%, 	0.450000%, 	0.375260%
2020-04-08 23:16:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.00013935, 	14.3358899, 	0.825260%, 	0.450000%, 	0.375260%
2020-04-08 23:17:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.00013934, 	63.0, 	0.832496%, 	0.450000%, 	0.382496%
2020-04-08 23:17:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.00013961, 	14.3358899, 	0.637490%, 	0.450000%, 	0.187490%
2020-04-08 23:17:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.0001396, 	63.0, 	0.644699%, 	0.450000%, 	0.194699%
2020-04-08 23:17:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.00013959, 	14.3358899, 	0.651909%, 	0.450000%, 	0.201909%
2020-04-08 23:18:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.00013958, 	3.62007332, 	0.659120%, 	0.450000%, 	0.209120%
