2020-04-08 00:03:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03408, 	3.41035368, 	1.026, 	8.08847796, 	0.787524%, 	0.460000%, 	0.327524%
2020-04-08 00:04:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03408, 	3.41035368, 	1.026, 	8.08847796, 	0.787524%, 	0.460000%, 	0.327524%
2020-04-08 00:04:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03408, 	3.41035368, 	1.026, 	8.08847796, 	0.787524%, 	0.460000%, 	0.327524%
2020-04-08 00:05:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03408, 	3.41035368, 	1.026, 	8.08847796, 	0.787524%, 	0.460000%, 	0.327524%
2020-04-08 00:05:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03408, 	3.41035368, 	1.026, 	8.08847796, 	0.787524%, 	0.460000%, 	0.327524%
2020-04-08 00:06:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03408, 	8.41730066, 	1.026, 	3.08618128, 	0.787524%, 	0.460000%, 	0.327524%
2020-04-08 00:06:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03408, 	8.41730066, 	1.026, 	3.08618128, 	0.787524%, 	0.460000%, 	0.327524%
2020-04-08 00:07:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03408, 	8.41730066, 	1.026, 	3.08618128, 	0.787524%, 	0.460000%, 	0.327524%
2020-04-08 00:07:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03408, 	8.41730066, 	1.026, 	3.08618128, 	0.787524%, 	0.460000%, 	0.327524%
2020-04-08 00:08:17, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03408, 	8.41730066, 	1.026, 	3.08618128, 	0.787524%, 	0.460000%, 	0.327524%
2020-04-08 00:08:47, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03408, 	8.41730066, 	1.026, 	3.08618128, 	0.787524%, 	0.460000%, 	0.327524%
