2020-04-09 19:55:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.16, 	1.13839, 	0.947409%, 	0.350000%, 	0.597409%
2020-04-09 19:55:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.16, 	1.13839, 	0.947409%, 	0.350000%, 	0.597409%
2020-04-09 19:55:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.62, 	0.0189, 	155.16, 	1.13839, 	0.940964%, 	0.350000%, 	0.590964%
2020-04-09 19:55:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.52, 	0.20727, 	155.15, 	5.875, 	0.883016%, 	0.350000%, 	0.533016%
2020-04-09 19:56:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.16, 	1.13839, 	0.754060%, 	0.350000%, 	0.404060%
2020-04-09 19:56:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.16, 	1.13839, 	0.754060%, 	0.350000%, 	0.404060%
2020-04-09 19:56:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.16, 	1.13839, 	0.754060%, 	0.350000%, 	0.404060%
2020-04-09 19:56:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.16, 	1.13839, 	0.754060%, 	0.350000%, 	0.404060%
2020-04-09 19:57:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.16, 	1.13839, 	0.754060%, 	0.350000%, 	0.404060%
2020-04-09 19:57:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.15, 	5.294, 	0.760554%, 	0.350000%, 	0.410554%
2020-04-09 19:57:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.096, 	1.13886, 	0.795636%, 	0.350000%, 	0.445636%
2020-04-09 19:57:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.096, 	1.13886, 	0.795636%, 	0.350000%, 	0.445636%
2020-04-09 19:58:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.096, 	1.13886, 	0.795636%, 	0.350000%, 	0.445636%
2020-04-09 19:58:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.09, 	35.993, 	0.799536%, 	0.350000%, 	0.449536%
2020-04-09 19:58:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.09, 	39.13, 	0.799536%, 	0.350000%, 	0.449536%
2020-04-09 19:58:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.31, 	0.06398, 	155.047, 	1.13922, 	0.814592%, 	0.350000%, 	0.464592%
2020-04-09 19:59:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.31, 	0.06398, 	155.047, 	1.13922, 	0.814592%, 	0.350000%, 	0.464592%
2020-04-09 19:59:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.31, 	0.06398, 	155.047, 	1.13922, 	0.814592%, 	0.350000%, 	0.464592%
2020-04-09 19:59:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.31, 	0.06398, 	159.43, 	18.389, 	-1.956972%, 	0.350000%, 	-2.306972%
2020-04-09 20:25:08, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.07365, 	155.411, 	1.13655, 	0.591335%, 	0.350000%, 	0.241335%
2020-04-09 20:25:23, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.07365, 	155.411, 	1.13655, 	0.591335%, 	0.350000%, 	0.241335%
2020-04-09 20:25:38, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.07365, 	155.411, 	1.13655, 	0.591335%, 	0.350000%, 	0.241335%
2020-04-09 20:25:53, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.66, 	6.18086, 	155.41, 	4.333, 	0.804324%, 	0.350000%, 	0.454324%
