2020-04-11 18:07:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	188.046, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.510000%, 	0.610194%
2020-04-11 18:08:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	188.046, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.510000%, 	0.610194%
2020-04-11 18:08:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	188.046, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.510000%, 	0.610194%
2020-04-11 18:08:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	188.046, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.510000%, 	0.610194%
2020-04-11 18:08:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.335e-05, 	2846.793, 	3.303e-05, 	15.48838758, 	0.968816%, 	0.510000%, 	0.458816%
2020-04-11 18:09:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.335e-05, 	12846.793, 	3.303e-05, 	15.48838758, 	0.968816%, 	0.510000%, 	0.458816%
2020-04-11 18:09:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.335e-05, 	12846.793, 	3.303e-05, 	15.48838758, 	0.968816%, 	0.510000%, 	0.458816%
2020-04-11 18:09:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.335e-05, 	12846.793, 	3.303e-05, 	15.48838758, 	0.968816%, 	0.510000%, 	0.458816%
2020-04-11 18:09:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.335e-05, 	12846.793, 	3.303e-05, 	15.48838758, 	0.968816%, 	0.510000%, 	0.458816%
2020-04-11 18:10:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.335e-05, 	14009.435, 	3.303e-05, 	15.48838758, 	0.968816%, 	0.510000%, 	0.458816%
2020-04-11 18:10:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.335e-05, 	12846.793, 	3.303e-05, 	15.48838758, 	0.968816%, 	0.510000%, 	0.458816%
2020-04-11 18:10:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.335e-05, 	13641.653, 	3.303e-05, 	15.48838758, 	0.968816%, 	0.510000%, 	0.458816%
2020-04-11 18:10:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.335e-05, 	13641.653, 	3.303e-05, 	15.48838758, 	0.968816%, 	0.510000%, 	0.458816%
2020-04-11 18:11:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	3285.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
2020-04-11 18:11:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.336e-05, 	3285.418, 	3.303e-05, 	15.48838758, 	0.999092%, 	0.510000%, 	0.489092%
