2020-04-09 04:59:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.989e-07, 	174486.753, 	0.553042%, 	0.350000%, 	0.203042%
2020-04-09 04:59:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.989e-07, 	174486.753, 	0.553042%, 	0.350000%, 	0.203042%
2020-04-09 05:00:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.989e-07, 	174486.753, 	0.553042%, 	0.350000%, 	0.203042%
2020-04-09 05:00:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.989e-07, 	174486.753, 	0.553042%, 	0.350000%, 	0.203042%
2020-04-09 05:00:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.989e-07, 	257383.111, 	0.553042%, 	0.350000%, 	0.203042%
2020-04-09 05:00:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.989e-07, 	257383.111, 	0.553042%, 	0.350000%, 	0.203042%
2020-04-09 05:01:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.989e-07, 	257383.111, 	0.553042%, 	0.350000%, 	0.203042%
2020-04-09 05:01:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.989e-07, 	103191.204, 	0.553042%, 	0.350000%, 	0.203042%
2020-04-09 05:01:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.989e-07, 	10144.437, 	0.553042%, 	0.350000%, 	0.203042%
2020-04-09 05:01:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.989e-07, 	257383.111, 	0.553042%, 	0.350000%, 	0.203042%
2020-04-09 05:02:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:02:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:02:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:02:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:03:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:03:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:03:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:03:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:04:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:04:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:04:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:04:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:05:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:05:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:05:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:05:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:06:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:06:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:06:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:06:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:07:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:07:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:07:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:07:50, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:08:05, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	840190.4217117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:08:20, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	828051.6815117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
2020-04-09 05:08:35, 	Poloniex    , 	Kraken      , 	SC/BTC, 	2e-07, 	828051.6815117, 	1.99e-07, 	740657.614, 	0.502513%, 	0.350000%, 	0.152513%
