2020-04-07 21:47:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6602.01, 	0.20509121, 	6544.99, 	1.384, 	0.871201%, 	0.600000%, 	0.271201%
2020-04-07 21:48:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6605.0, 	3.3, 	6545.0, 	1.9102961, 	0.916730%, 	0.600000%, 	0.316730%
2020-04-07 21:48:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6605.0, 	2.76353437, 	6541.31, 	0.14200926, 	0.973658%, 	0.600000%, 	0.373658%
2020-04-07 21:49:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6605.01, 	0.02252692, 	6545.0, 	1.63063428, 	0.916883%, 	0.600000%, 	0.316883%
2020-04-07 21:49:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6605.01, 	1.8459, 	6550.0, 	0.95833805, 	0.839847%, 	0.600000%, 	0.239847%
2020-04-07 21:50:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6605.0, 	0.01412191, 	6550.0, 	0.53527742, 	0.839695%, 	0.600000%, 	0.239695%
2020-04-07 21:50:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6605.0, 	6.29e-06, 	6543.49, 	1.60029817, 	0.940018%, 	0.600000%, 	0.340018%
2020-04-07 21:51:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6602.0, 	1.38082562, 	6542.79, 	1.3835, 	0.904966%, 	0.600000%, 	0.304966%
2020-04-07 21:51:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6602.0, 	0.46509876, 	6542.86, 	0.0578932, 	0.903886%, 	0.600000%, 	0.303886%
2020-04-07 21:52:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6602.0, 	0.42283926, 	6541.25, 	0.37927333, 	0.928722%, 	0.600000%, 	0.328722%
2020-04-07 21:52:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6598.21, 	1.52101292, 	6543.83, 	0.26255868, 	0.831012%, 	0.600000%, 	0.231012%
2020-04-07 21:53:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6598.16, 	1.6126, 	6543.16, 	0.37582971, 	0.840572%, 	0.600000%, 	0.240572%
2020-04-07 21:53:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6598.16, 	1.018, 	6542.79, 	0.37188365, 	0.846275%, 	0.600000%, 	0.246275%
2020-04-07 21:54:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6597.99, 	0.56477397, 	6541.73, 	0.36935626, 	0.860017%, 	0.600000%, 	0.260017%
2020-04-07 21:54:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6597.99, 	0.32178742, 	6535.96, 	1.1581212, 	0.949057%, 	0.600000%, 	0.349057%
2020-04-07 21:55:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6597.99, 	1.2, 	6538.51, 	0.12, 	0.909687%, 	0.600000%, 	0.309687%
2020-04-07 21:55:49, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6597.99, 	0.19754023, 	6539.4, 	0.06, 	0.895954%, 	0.600000%, 	0.295954%
2020-04-07 21:56:19, 	Binance     , 	Coinbase Pro, 	BTC/EUR, 	6580.0, 	1.5529, 	6539.91, 	0.31685431, 	0.613005%, 	0.600000%, 	0.013005%
