2020-04-09 02:38:49, 	Poloniex    , 	Binance     , 	REP/ETH, 	0.06065611, 	0.0263853, 	0.06043, 	0.282, 	0.374168%, 	0.190000%, 	0.184168%
2020-04-09 02:39:04, 	Poloniex    , 	Binance     , 	REP/ETH, 	0.06065611, 	0.0263853, 	0.06043, 	0.282, 	0.374168%, 	0.190000%, 	0.184168%
2020-04-09 02:39:19, 	Poloniex    , 	Binance     , 	REP/ETH, 	0.06035282, 	0.02651826, 	0.06043, 	0.282, 	-0.127718%, 	0.190000%, 	-0.317718%
