2020-04-07 23:41:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	277003.5, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:41:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	277003.5, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:42:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	277003.5, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:42:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	277003.5, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:43:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	73901.3, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:43:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	136067.4, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:44:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	84388.1, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:44:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	84388.1, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:45:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	209816.1, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:45:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	209816.1, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:46:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	51679.3, 	0.00477, 	43805.8, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:46:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	51679.3, 	0.00477, 	40447.7, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:47:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	209638.5, 	0.00477, 	40447.7, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:47:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	198126.1, 	0.00477, 	40447.7, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:48:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	51679.3, 	0.00477, 	40447.7, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:48:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	51679.3, 	0.00477, 	40447.7, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:49:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	198126.1, 	0.00477, 	40447.7, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:49:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	198126.1, 	0.00477, 	32741.7, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:50:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	535223.2, 	0.00477, 	32741.7, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:50:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	51679.3, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:51:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188023.5, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:51:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	103813.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:52:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	445809.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:52:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	445809.0, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:53:13, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
2020-04-07 23:53:43, 	OKEX        , 	Binance     , 	GTO/USDT, 	0.0095, 	188201.1, 	0.00477, 	30624.3, 	99.161426%, 	0.250000%, 	98.911426%
