2020-04-09 11:38:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:39:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:39:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:39:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:39:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:40:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:40:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	16800.0, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 11:40:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:40:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:41:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:41:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:41:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:41:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:42:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:42:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:42:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:42:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:43:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	16500.0, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 11:43:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:43:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:43:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:44:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:44:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:44:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:44:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:45:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:45:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:45:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:45:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002566, 	15900.0, 	1.169135%, 	0.350000%, 	0.819135%
2020-04-09 11:46:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:46:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:46:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	16000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:46:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:47:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:47:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:47:34, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:47:49, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:48:04, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
2020-04-09 11:48:19, 	Bitfinex    , 	OKEX        , 	KAN/USDT, 	0.002596, 	7280.0, 	0.002567, 	8000.0, 	1.129723%, 	0.350000%, 	0.779723%
