2020-04-07 20:31:25, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.35724914, 	60.1565796, 	54.97, 	11.14816, 	4.342822%, 	0.240000%, 	4.102822%
2020-04-07 20:31:55, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.36749816, 	7.0, 	54.97, 	7.0, 	4.361467%, 	0.240000%, 	4.121467%
2020-04-07 20:32:25, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.45293923, 	0.01742121, 	54.97, 	8.39397473, 	4.516899%, 	0.240000%, 	4.276899%
2020-04-07 20:32:55, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.45293923, 	0.01742121, 	54.97, 	14.93823985, 	4.516899%, 	0.240000%, 	4.276899%
2020-04-07 20:33:25, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.27879468, 	7.0, 	55.79, 	11.14816, 	2.668569%, 	0.240000%, 	2.428569%
2020-04-07 20:33:55, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.30100546, 	15.68559673, 	55.66, 	0.42809784, 	2.948267%, 	0.240000%, 	2.708267%
2020-04-07 20:34:25, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.31160828, 	107.776164, 	55.55, 	7.0, 	3.171212%, 	0.240000%, 	2.931212%
2020-04-07 20:34:55, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.26397514, 	0.15038335, 	55.48, 	11.14816, 	3.215528%, 	0.240000%, 	2.975528%
2020-04-07 20:35:25, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.27367512, 	0.07013996, 	55.34, 	7.0, 	3.494173%, 	0.240000%, 	3.254173%
2020-04-07 20:35:55, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.30012638, 	9.620586, 	55.25, 	11.14816, 	3.710636%, 	0.240000%, 	3.470636%
2020-04-07 20:36:25, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.28445189, 	9.699282, 	55.29, 	7.0, 	3.607256%, 	0.240000%, 	3.367256%
2020-04-07 20:36:55, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.28445189, 	16.8874015, 	55.24, 	30.2968033, 	3.701035%, 	0.240000%, 	3.461035%
2020-04-07 20:37:25, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.28445191, 	14.08891006, 	55.17, 	0.42809784, 	3.832612%, 	0.240000%, 	3.592612%
2020-04-07 20:37:55, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.26397511, 	4.37461129, 	55.16, 	7.0, 	3.814313%, 	0.240000%, 	3.574313%
2020-04-07 20:38:25, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.2639751, 	0.02609981, 	55.14, 	26.15608836, 	3.851968%, 	0.240000%, 	3.611968%
2020-04-07 20:38:55, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.26397512, 	9.768141, 	55.15, 	7.0, 	3.833137%, 	0.240000%, 	3.593137%
2020-04-07 20:39:25, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.26842264, 	7.0, 	55.11, 	19.29384396, 	3.916572%, 	0.240000%, 	3.676572%
2020-04-07 20:39:55, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.27292858, 	7.0, 	55.11, 	19.29384396, 	3.924748%, 	0.240000%, 	3.684748%
2020-04-07 20:58:39, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.2158399, 	7.60433258, 	54.87, 	26.12479198, 	4.275269%, 	0.240000%, 	4.035269%
2020-04-07 20:59:09, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.2158399, 	9.679608, 	54.87, 	7.0, 	4.275269%, 	0.240000%, 	4.035269%
2020-04-07 20:59:39, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.21583988, 	3.0, 	54.87, 	19.12446082, 	4.275269%, 	0.240000%, 	4.035269%
2020-04-07 21:00:09, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.1121626, 	0.02615906, 	54.86, 	26.12419927, 	4.105291%, 	0.240000%, 	3.865291%
2020-04-07 21:00:39, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.1121626, 	0.02615906, 	54.84, 	15.2549765, 	4.143258%, 	0.240000%, 	3.903258%
2020-04-07 21:01:09, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.1121626, 	0.02615906, 	54.83, 	7.0, 	4.162252%, 	0.240000%, 	3.922252%
2020-04-07 21:01:39, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.1121626, 	0.02615906, 	54.82, 	15.2549763, 	4.181252%, 	0.240000%, 	3.941252%
2020-04-07 21:02:09, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.1, 	2.071e-05, 	54.78, 	0.42809784, 	4.235122%, 	0.240000%, 	3.995122%
2020-04-07 21:02:39, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	57.06180328, 	0.05257458, 	54.77, 	9.748467, 	4.184414%, 	0.240000%, 	3.944414%
2020-04-07 21:03:09, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	56.51000004, 	9.807489, 	54.76, 	15.25498039, 	3.195763%, 	0.240000%, 	2.955763%
2020-04-07 21:03:39, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	56.58784202, 	12.74, 	54.72, 	11.21192, 	3.413454%, 	0.240000%, 	3.173454%
2020-04-07 21:04:09, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	56.51000005, 	39.47419214, 	54.63, 	56.7321874, 	3.441333%, 	0.240000%, 	3.201333%
2020-04-07 21:04:39, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	56.51078281, 	0.42809784, 	54.53, 	54.9834874, 	3.632464%, 	0.240000%, 	3.392464%
2020-04-07 21:05:09, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	56.28000059, 	12.74, 	54.53, 	1.77038758, 	3.209244%, 	0.240000%, 	2.969244%
2020-04-07 21:05:39, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	55.71720002, 	4.13809784, 	54.49, 	9.797652, 	2.252156%, 	0.240000%, 	2.012156%
2020-04-07 21:07:37, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	56.02753565, 	10.03854475, 	54.27, 	10.0, 	3.238503%, 	0.240000%, 	2.998503%
2020-04-07 21:08:07, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	56.02760924, 	3.3, 	54.27, 	9.797652, 	3.238639%, 	0.240000%, 	2.998639%
2020-04-07 21:08:37, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	56.14906892, 	0.01782576, 	54.27, 	10.0, 	3.462445%, 	0.240000%, 	3.222445%
2020-04-07 21:09:07, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	56.17233253, 	7.0, 	54.25, 	10.0, 	3.543470%, 	0.240000%, 	3.303470%
2020-04-07 21:09:37, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	56.20224826, 	103.79342855, 	54.22, 	10.0, 	3.655936%, 	0.240000%, 	3.415936%
2020-04-07 21:10:07, 	Poloniex    , 	OKEX        , 	XMR/USDT, 	56.14906895, 	12.74, 	54.23, 	8.6, 	3.538759%, 	0.240000%, 	3.298759%
