2020-04-10 05:20:52, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	37431.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:21:07, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	37431.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:21:22, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	37431.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:21:37, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	111456.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:21:52, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	147877.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:22:07, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	122382.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:22:22, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	122382.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:22:37, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	122382.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:22:52, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	148248.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:23:07, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	142777.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:23:22, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	143928.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:23:37, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	143928.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:23:52, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	130865.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:24:07, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.85e-06, 	15620.0, 	1.403509%, 	0.250000%, 	1.153509%
