2020-04-11 12:32:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:32:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:32:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:32:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:33:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:33:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:33:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:33:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:34:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:34:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:34:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:34:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:35:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:35:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:35:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:35:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:36:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:36:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:36:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:36:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:37:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:37:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:37:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:37:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:38:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:38:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:38:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:38:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:39:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:39:25, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	326.054, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:39:40, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:39:55, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
2020-04-11 12:40:10, 	Poloniex    , 	OKEX        , 	PAX/USDT, 	1.00115976, 	2.9266536, 	0.998, 	182.4969, 	0.316609%, 	0.240000%, 	0.076609%
