2020-04-09 09:35:29, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:35:44, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:35:59, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.401e-05, 	1024.0, 	1.424e-05, 	7.5, 	-1.615169%, 	0.190000%, 	-1.805169%
2020-04-11 16:40:12, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.349e-05, 	2243.0, 	1.347e-05, 	2592.15242726, 	0.148478%, 	0.190000%, 	-0.041522%
2020-04-11 17:20:47, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.348e-05, 	47.0, 	1.345e-05, 	0.2096557, 	0.223048%, 	0.190000%, 	0.033048%
2020-04-11 17:21:02, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.35e-05, 	12376.0, 	1.345e-05, 	0.2096557, 	0.371747%, 	0.190000%, 	0.181747%
2020-04-11 17:21:17, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.35e-05, 	12376.0, 	1.345e-05, 	0.2096557, 	0.371747%, 	0.190000%, 	0.181747%
2020-04-11 17:21:32, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.35e-05, 	12376.0, 	1.345e-05, 	0.2096557, 	0.371747%, 	0.190000%, 	0.181747%
2020-04-11 17:21:47, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.35e-05, 	15524.0, 	1.345e-05, 	0.2096557, 	0.371747%, 	0.190000%, 	0.181747%
2020-04-11 17:22:02, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.35e-05, 	15524.0, 	1.345e-05, 	0.2096557, 	0.371747%, 	0.190000%, 	0.181747%
2020-04-11 17:22:17, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.35e-05, 	12094.0, 	1.345e-05, 	0.2096557, 	0.371747%, 	0.190000%, 	0.181747%
2020-04-11 17:22:32, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.35e-05, 	12094.0, 	1.345e-05, 	0.2096557, 	0.371747%, 	0.190000%, 	0.181747%
2020-04-11 17:22:47, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.35e-05, 	8834.0, 	1.345e-05, 	0.2096557, 	0.371747%, 	0.190000%, 	0.181747%
2020-04-11 17:23:02, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.35e-05, 	8834.0, 	1.345e-05, 	0.2096557, 	0.371747%, 	0.190000%, 	0.181747%
2020-04-11 17:23:17, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.35e-05, 	8834.0, 	1.345e-05, 	0.2096557, 	0.371747%, 	0.190000%, 	0.181747%
2020-04-11 17:23:32, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.341e-05, 	1355.0, 	1.345e-05, 	0.2096557, 	-0.297398%, 	0.190000%, 	-0.487398%
2020-04-11 17:43:03, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.355e-05, 	499.0, 	1.349e-05, 	1.11965571, 	0.444774%, 	0.190000%, 	0.254774%
2020-04-11 17:43:18, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.355e-05, 	499.0, 	1.349e-05, 	1.11965571, 	0.444774%, 	0.190000%, 	0.254774%
2020-04-11 17:43:33, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.356e-05, 	1093.0, 	1.349e-05, 	1.11965571, 	0.518903%, 	0.190000%, 	0.328903%
2020-04-11 17:43:48, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.356e-05, 	1093.0, 	1.349e-05, 	1.11965571, 	0.518903%, 	0.190000%, 	0.328903%
2020-04-11 17:44:03, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.356e-05, 	1093.0, 	1.349e-05, 	1.11965571, 	0.518903%, 	0.190000%, 	0.328903%
2020-04-11 17:44:18, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.356e-05, 	1093.0, 	1.349e-05, 	1.11965571, 	0.518903%, 	0.190000%, 	0.328903%
2020-04-11 17:44:33, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.356e-05, 	1093.0, 	1.349e-05, 	1.11965571, 	0.518903%, 	0.190000%, 	0.328903%
