2020-04-09 14:39:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	2008.3634, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:39:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	2008.3634, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:39:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	2008.3634, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:40:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	2008.3634, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:40:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.2628, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:40:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.2628, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:40:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.464, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:41:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.464, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:41:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.464, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:41:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.464, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:41:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	2008.3634, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:42:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	2008.3634, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:42:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.2628, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:42:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	2008.3634, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:42:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.2628, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:43:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	2008.3634, 	1.090982%, 	0.350000%, 	0.740982%
2020-04-09 14:43:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	2527.9647, 	1.090982%, 	0.350000%, 	0.740982%
2020-04-09 14:43:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	1999.968, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:43:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	1999.968, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:44:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	1999.968, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:44:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	1999.968, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:44:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	1999.973, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:44:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	1999.973, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:45:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	1999.973, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:45:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	1999.973, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:45:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	1999.979, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:45:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	1999.975, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:46:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	1999.975, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:46:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	1999.975, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:46:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	1999.975, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:46:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	1999.975, 	1.141598%, 	0.350000%, 	0.791598%
2020-04-09 14:47:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	1999.975, 	1.141598%, 	0.350000%, 	0.791598%
2020-04-09 14:47:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	1999.975, 	1.141598%, 	0.350000%, 	0.791598%
2020-04-09 14:47:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9992, 	2008.464, 	1.080865%, 	0.350000%, 	0.730865%
2020-04-09 14:47:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	2008.3634, 	1.131471%, 	0.350000%, 	0.781471%
2020-04-09 14:48:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9987, 	2008.3634, 	1.131471%, 	0.350000%, 	0.781471%
