2020-04-10 05:34:46, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	581.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:35:01, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	631.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:35:16, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	718.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:35:31, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	152.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:35:46, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	165.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:36:01, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.627e-05, 	11690.0, 	0.494861%, 	0.300000%, 	0.194861%
2020-04-10 05:36:16, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	241.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:36:31, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	345.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:36:46, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	413.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:37:01, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	127.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:37:16, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	263.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:37:31, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	366.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:37:46, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	451.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:38:01, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	413.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:38:16, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	180.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:38:31, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	126.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:38:46, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	191.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:39:01, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	260.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:39:16, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	232.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:39:31, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	101.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:39:46, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	216.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:40:01, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	309.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:40:16, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	325.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:40:31, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.626e-05, 	32.0, 	0.533130%, 	0.300000%, 	0.233130%
2020-04-10 05:40:46, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.628e-05, 	100.0, 	0.456621%, 	0.300000%, 	0.156621%
2020-04-10 05:41:01, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.627e-05, 	100.0, 	0.494861%, 	0.300000%, 	0.194861%
2020-04-10 05:41:16, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.627e-05, 	261.0, 	0.494861%, 	0.300000%, 	0.194861%
2020-04-10 05:41:31, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.628e-05, 	193.0, 	0.456621%, 	0.300000%, 	0.156621%
2020-04-10 05:41:46, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.628e-05, 	213.0, 	0.456621%, 	0.300000%, 	0.156621%
2020-04-10 05:42:01, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.627e-05, 	244.0, 	0.494861%, 	0.300000%, 	0.194861%
2020-04-10 05:42:16, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.627e-05, 	312.0, 	0.494861%, 	0.300000%, 	0.194861%
2020-04-10 05:42:31, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.627e-05, 	43.0, 	0.494861%, 	0.300000%, 	0.194861%
2020-04-10 05:42:46, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.627e-05, 	115.0, 	0.494861%, 	0.300000%, 	0.194861%
2020-04-10 05:43:01, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.627e-05, 	133.0, 	0.494861%, 	0.300000%, 	0.194861%
2020-04-10 05:43:16, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.626e-05, 	137.0, 	0.533130%, 	0.300000%, 	0.233130%
2020-04-10 05:43:31, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.628e-05, 	249.0, 	0.456621%, 	0.300000%, 	0.156621%
2020-04-10 05:43:46, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.628e-05, 	134.0, 	0.456621%, 	0.300000%, 	0.156621%
2020-04-10 05:44:01, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.628e-05, 	210.0, 	0.456621%, 	0.300000%, 	0.156621%
2020-04-10 05:44:16, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	407.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:44:31, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.629e-05, 	170.0, 	0.418410%, 	0.300000%, 	0.118410%
2020-04-10 05:44:46, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.634e-05, 	399.0, 	0.227790%, 	0.300000%, 	-0.072210%
