2020-04-08 12:48:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5919.9, 	4.22581489, 	5884.9, 	0.04560227, 	0.594742%, 	0.460000%, 	0.134742%
2020-04-08 12:49:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5921.2, 	0.67296819, 	5892.4, 	12.83429998, 	0.488765%, 	0.460000%, 	0.028765%
2020-04-08 12:49:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5922.0, 	0.706, 	5892.0, 	0.76897802, 	0.509165%, 	0.460000%, 	0.049165%
2020-04-08 12:49:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5922.4, 	0.63719729, 	5887.8, 	0.07279058, 	0.587656%, 	0.460000%, 	0.127656%
2020-04-08 12:49:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5922.5, 	3.96035082, 	5891.3, 	0.0054, 	0.529594%, 	0.460000%, 	0.069594%
2020-04-08 12:50:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5923.0, 	7.68915673, 	5891.2, 	0.07279058, 	0.539788%, 	0.460000%, 	0.079788%
2020-04-08 12:50:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5923.2, 	10.69835653, 	5890.9, 	0.0054, 	0.548303%, 	0.460000%, 	0.088303%
2020-04-08 12:50:37, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5923.2, 	10.72261869, 	5890.1, 	1.06513973, 	0.561960%, 	0.460000%, 	0.101960%
2020-04-08 12:50:52, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5923.2, 	13.34113559, 	5887.6, 	1.06303213, 	0.604661%, 	0.460000%, 	0.144661%
2020-04-08 12:51:07, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5923.3, 	2.49677289, 	5887.3, 	2.40531641, 	0.611486%, 	0.460000%, 	0.151486%
2020-04-08 12:51:22, 	Kraken      , 	Bitfinex    , 	BTC/GBP, 	5923.3, 	2.49677289, 	5887.3, 	0.10922622, 	0.611486%, 	0.460000%, 	0.151486%
