2020-04-11 17:58:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.36e-05, 	241.0, 	3.303e-05, 	15.48838758, 	1.725704%, 	0.350000%, 	1.375704%
2020-04-11 17:58:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.357e-05, 	267.0, 	3.303e-05, 	15.48838758, 	1.634877%, 	0.350000%, 	1.284877%
2020-04-11 17:58:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.357e-05, 	267.0, 	3.303e-05, 	15.48838758, 	1.634877%, 	0.350000%, 	1.284877%
2020-04-11 17:59:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.357e-05, 	267.0, 	3.303e-05, 	15.48838758, 	1.634877%, 	0.350000%, 	1.284877%
2020-04-11 17:59:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.357e-05, 	267.0, 	3.303e-05, 	15.48838758, 	1.634877%, 	0.350000%, 	1.284877%
2020-04-11 17:59:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.357e-05, 	267.0, 	3.303e-05, 	15.48838758, 	1.634877%, 	0.350000%, 	1.284877%
2020-04-11 17:59:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.357e-05, 	267.0, 	3.303e-05, 	15.48838758, 	1.634877%, 	0.350000%, 	1.284877%
2020-04-11 18:00:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.357e-05, 	267.0, 	3.303e-05, 	15.48838758, 	1.634877%, 	0.350000%, 	1.284877%
2020-04-11 18:00:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.357e-05, 	230.0, 	3.303e-05, 	15.48838758, 	1.634877%, 	0.350000%, 	1.284877%
2020-04-11 18:00:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.356e-05, 	18.0, 	3.303e-05, 	15.48838758, 	1.604602%, 	0.350000%, 	1.254602%
2020-04-11 18:00:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.356e-05, 	18.0, 	3.303e-05, 	15.48838758, 	1.604602%, 	0.350000%, 	1.254602%
2020-04-11 18:01:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.356e-05, 	18.0, 	3.303e-05, 	15.48838758, 	1.604602%, 	0.350000%, 	1.254602%
2020-04-11 18:01:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.356e-05, 	18.0, 	3.303e-05, 	15.48838758, 	1.604602%, 	0.350000%, 	1.254602%
2020-04-11 18:01:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:01:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	525.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:02:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	525.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:02:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	525.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:02:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.346e-05, 	6454.0, 	3.303e-05, 	15.48838758, 	1.301847%, 	0.350000%, 	0.951847%
2020-04-11 18:02:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.347e-05, 	384.0, 	3.303e-05, 	15.48838758, 	1.332122%, 	0.350000%, 	0.982122%
2020-04-11 18:03:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.347e-05, 	384.0, 	3.303e-05, 	15.48838758, 	1.332122%, 	0.350000%, 	0.982122%
2020-04-11 18:03:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	491.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:03:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	491.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:03:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	491.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:04:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	501.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:04:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	481.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:04:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	5779.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:04:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	5779.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:05:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	5779.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:05:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	5775.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:05:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	5775.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:05:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	5775.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:06:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	5775.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:06:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	5775.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:06:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	5775.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:06:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	5775.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:07:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	5775.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 18:07:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	384.0, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.350000%, 	1.072949%
2020-04-11 18:07:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.348e-05, 	3.0, 	3.303e-05, 	15.48838758, 	1.362398%, 	0.350000%, 	1.012398%
2020-04-11 18:07:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.348e-05, 	3.0, 	3.303e-05, 	15.48838758, 	1.362398%, 	0.350000%, 	1.012398%
2020-04-11 18:08:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.348e-05, 	3.0, 	3.303e-05, 	15.48838758, 	1.362398%, 	0.350000%, 	1.012398%
