2020-04-10 03:44:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	388525.3, 	0.00384, 	46970.07, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:44:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	388525.3, 	0.00384, 	46970.07, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:44:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	388525.3, 	0.00384, 	46970.07, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:45:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	388525.3, 	0.00384, 	46970.07, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:45:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	347561.6, 	0.00384, 	63069.758, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:45:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	344639.5, 	0.00384, 	60147.658, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:45:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	344639.5, 	0.00384, 	60147.658, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:46:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	344639.5, 	0.00384, 	60147.658, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:46:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	344639.5, 	0.00384, 	60147.658, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:46:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	43483.056, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:46:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	43483.056, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:47:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	43483.056, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:47:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	43483.056, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:47:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	43483.056, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:47:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	43483.056, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:48:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:48:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:48:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:48:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:49:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:49:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	52813.26, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:49:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:49:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:50:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:50:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	338795.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:50:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	257559.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:50:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	257559.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:51:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	257559.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:51:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	369055.9, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:51:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	257559.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:51:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	257559.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:52:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	257559.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:52:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	356758.7, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:52:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	356758.7, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:52:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	356758.7, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:53:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	356758.7, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:53:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	141888.4, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:53:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	154343.9, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:53:45, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	154343.9, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:54:00, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	253543.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:54:15, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	253543.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
2020-04-10 03:54:30, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00385, 	253543.3, 	0.00384, 	1.01, 	0.260417%, 	0.250000%, 	0.010417%
