2020-04-07 20:24:50, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18901534, 	376.5940758, 	0.18815, 	261.63564845, 	0.459920%, 	0.400000%, 	0.059920%
2020-04-08 17:26:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	100.1949946, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:26:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	100.1949946, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:26:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	100.1949946, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:27:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	100.1949946, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:27:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	100.1949946, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:27:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	100.1949946, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:27:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	100.1949946, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:28:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	100.1949946, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:28:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	88.84543567, 	0.1836, 	141.3184, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:28:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	77.58836622, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:28:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	77.58836622, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:29:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	77.58836622, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:29:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	77.58836622, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:29:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	77.58836622, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:29:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	77.58836622, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:30:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	77.58836622, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:30:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	77.58836622, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:30:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	77.58836622, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:30:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	62.58836622, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:31:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	51.46905127, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:31:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	40.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:31:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	40.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:31:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	40.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:32:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	40.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:32:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	40.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:32:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	40.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:32:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	40.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:33:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	40.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:33:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	25.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:33:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	25.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:33:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	25.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:34:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	25.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:34:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	25.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:34:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	25.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:34:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	25.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:35:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	25.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:35:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	25.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:35:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	10.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:35:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	10.44034949, 	0.1836, 	42.9057, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:36:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	10.44034949, 	0.1836, 	3.1601, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:36:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	10.44034949, 	0.1836, 	3.1601, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:36:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	10.44034949, 	0.1836, 	3.1601, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:36:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	10.44034949, 	0.1836, 	3.1601, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:37:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	10.44034949, 	0.1836, 	3.1601, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:37:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	10.44034949, 	0.1836, 	3.1601, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:37:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18601651, 	10.44034949, 	0.1836, 	3.1601, 	1.316182%, 	0.400000%, 	0.916182%
2020-04-08 17:37:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	420.96656746, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:38:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	420.96656746, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:38:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	420.96656746, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:38:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	420.96656746, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:38:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	420.96656746, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:39:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	420.96656746, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:39:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	420.96656746, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:39:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	406.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:39:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	406.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:40:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	406.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:40:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	406.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:40:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	406.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:40:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	406.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:41:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	406.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:41:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	406.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:41:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	391.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:41:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	391.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:42:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	391.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:42:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	391.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:42:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	391.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:42:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	391.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:43:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	391.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:43:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	391.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:43:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	376.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:43:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	376.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:44:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	376.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:44:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	376.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:44:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	376.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:44:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	376.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:45:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	376.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:45:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	376.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:45:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	376.06831688, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:45:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	358.95558464, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:46:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	358.95558464, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:46:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	358.95558464, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:46:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	358.95558464, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:46:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	358.95558464, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:47:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	358.95558464, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:47:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	358.95558464, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:47:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	358.95558464, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:47:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	358.95558464, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:48:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	358.95558464, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:48:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	358.95558464, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:48:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	345.07782217, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:48:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	345.07782217, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:49:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	345.07782217, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:49:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	345.07782217, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:49:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	345.07782217, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:49:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	345.07782217, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:50:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	345.07782217, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:50:17, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	345.07782217, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:50:32, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	345.07782217, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:50:47, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	345.07782217, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
2020-04-08 17:51:02, 	Bittrex     , 	OKEX        , 	APM/USDT, 	0.18595983, 	345.07782217, 	0.1836, 	3.1601, 	1.285310%, 	0.400000%, 	0.885310%
